Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
BOS;0,78;120,6;109,2;10,75;1;2;4;1;2;2;0,738;0,7804878048780488;0,7378048780487805;0,7378048780487805;0,6923076923076923;0,6923076923076923;28,181818181818183;2;0;1;2;0;0;0;0;0;0;0;0;2;0;1;1;0;0;2;1;1;4;0;1;2;0;0;3;0;0;0;0;1;2;0;0;2;0;1;3;0;2;3;0;1;2;0;0;4;0;0;2;11,34;124,23;112,51;11,71;10,74;123,81;112,7;11,11;1;1;3;1;1;1;3;1
DEN;0,695;114,9;109,6;5,23;2;14;5;4;9;11;0,561;0,6951219512195121;0,5897079276773296;0,5612121212121212;0,55;0,55;27,166666666666668;1;0;0;1;0;1;2;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;2;0;0;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;0;0;2;5,26;119,49;114,05;5,44;5,23;119,6;114,2;5,4;4;5;8;4;4;5;9;4
OKC;0,695;120,1;112,7;7,36;3;3;10;2;4;4;0,45;0,6951219512195121;0,449685534591195;0,449685534591195;0,6;0,6;23,166666666666668;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;4;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;3;1;1;1;0;1;2;0;1;1;0;1;1;7,41;120,43;113,12;7,31;7,36;120,49;113,23;7,26;2;3;4;2;2;3;4;2
MIN;0,683;113,0;106,5;6,39;4;18;1;3;4;4;0,557;0,6829268292682927;0,5574912891986062;0,5574912891986062;0,4444444444444444;0,4444444444444444;26,5;2;0;0;1;0;0;1;1;1;2;0;0;1;0;1;1;0;0;0;0;2;2;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;3;0;2;4;0;0;1;0;0;2;0;1;1;6,45;116,63;109,98;6,65;6,38;116,53;109,95;6,57;3;16;1;3;3;17;1;3
LAC;0,622;115,6;112,3;3,41;5;12;9;7;4;8;0,59;0,6219512195121951;0,5786163522012578;0,5897920604914934;0,43333333333333335;0,5934065934065934;28,923076923076923;2;0;0;2;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;1;0;2;2;0;0;1;0;0;1;0;0;3;0;0;2;0;0;3;0;0;2;0;0;0;3,28;119,75;116,51;3,24;3,41;119,97;116,59;3,37;7;4;19;7;7;4;19;7
NYK;0,61;112,8;108,2;4,36;6;19;2;6;4;12;0,575;0,6097560975609756;0,550314465408805;0,5753275109170306;0,4827586206896552;0,4470588235294118;25,6;2;0;1;2;0;0;1;0;0;4;0;1;2;0;1;2;0;1;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;1;1;0;1;2;0;0;2;0;1;2;0;1;1;0;1;2;4,59;119,11;114,22;4,89;4,36;118,93;114,28;4,66;5;7;10;5;6;7;10;5
DAL;0,61;117,9;115,6;2,3;7;7;18;13;3;8;0,522;0,6097560975609756;0,5691056910569106;0,5218093699515347;0,55;0,484375;26,357142857142858;1;1;1;2;1;1;1;0;0;1;1;2;2;1;2;2;1;1;3;0;1;1;0;1;1;0;0;2;0;0;2;0;0;1;0;1;2;0;1;1;0;1;3;1;1;2;1;1;2;1;1;2;2,21;118,38;116,28;2,09;2,3;118,6;116,42;2,18;14;10;17;15;13;10;17;14
MIL;0,598;119,0;116,4;2,44;8;4;19;12;1;25;0,588;0,4722222222222222;0,4722222222222222;0,5875527426160337;0,3333333333333333;0,5113122171945701;29,0;2;1;1;2;0;0;2;0;1;1;1;1;1;0;0;1;0;0;2;0;0;0;1;2;2;0;0;2;0;0;0;1;1;2;1;1;1;1;1;2;0;1;1;1;1;1;0;1;1;1;1;2;2,62;119,12;116,49;2,64;2,44;119,0;116,53;2,46;11;6;18;12;12;6;18;12
NOP;0,598;115,1;110,7;4,46;9;13;7;5;3;3;0,516;0,5975609756097561;0,516260162601626;0,516260162601626;0,2;0,2;25,923076923076923;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;2;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;4,41;118,31;113,7;4,61;4,46;118,4;113,75;4,65;6;11;6;6;5;11;6;6
PHO;0,598;116,2;113,2;3,08;10;10;12;8;1;12;0,532;0,5975609756097561;0,5975609756097561;0,532150776053215;0,0;0,532608695652174;27,76923076923077;2;0;2;2;0;0;1;0;1;1;0;1;2;0;0;2;0;0;1;1;2;4;0;1;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;1;0;0;2;0;0;1;0;0;2;3,06;118,78;115,69;3,09;3,08;118,83;115,73;3,1;8;8;13;8;8;8;14;8
