Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
HOU;0,793;112,4;103,9;8,21;1;2;5;1;2;14;0,55;0,7926829268292683;0,7317073170731707;0,5502392344497608;0,6071428571428571;0,4942528735632184;29,90909090909091;1;1;1;1;0;2;2;0;1;1;0;1;1;0;1;2;2;2;5;0;0;0;1;1;1;0;1;1;0;1;3;0;1;1;1;1;3;1;1;3;2;3;3;1;1;3;1;2;3;1;1;1;8,48;115,48;106,84;8,64;8,21;115,45;107,08;8,37;1;1;6;1;1;1;7;1
TOR;0,72;111,7;103,9;7,29;2;3;5;2;7;9;0,549;0,7195121951219512;0,5734767025089605;0,5485294117647059;0,4117647058823529;0,4117647058823529;25,333333333333332;2;0;0;1;0;0;1;0;0;1;0;0;1;1;1;2;0;1;2;1;1;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;3;0;0;1;7,78;114,6;106,56;8,03;7,3;114,5;106,96;7,54;2;2;5;2;2;2;6;2
GSW;0,707;113,5;107,5;5,79;3;1;15;3;4;4;0,808;0,7073170731707317;0,8079268292682927;0,8079268292682927;0,7590361445783133;0,7590361445783133;28,6;4;0;2;3;0;1;3;0;0;0;0;1;3;0;1;4;1;2;3;0;1;5;0;1;2;0;1;3;0;0;1;0;1;2;0;2;4;0;1;2;1;1;3;0;1;3;1;2;2;0;1;2;5,98;114,31;108,43;5,88;5,79;114,33;108,62;5,7;3;3;11;3;3;4;12;3
BOS;0,671;104,0;100,4;3,23;4;17;2;7;5;5;0,539;0,6707317073170732;0,5390243902439025;0,5390243902439025;0,46808510638297873;0,46808510638297873;24,615384615384617;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;2;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;2;0;1;1;0;0;2;0;1;2;0;1;1;3,59;108,4;104,65;3,75;3,24;108,14;104,75;3,39;6;18;2;6;7;18;2;7
PHI;0,634;109,8;105,3;4,3;5;6;8;5;5;5;0,31;0,6341463414634146;0,3097560975609756;0,3097560975609756;0,5;0,5;25,916666666666668;1;0;0;1;0;1;1;0;1;2;0;0;1;0;0;0;0;1;2;0;0;2;0;1;1;0;0;1;0;0;2;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;1;1;1;4,5;110,28;105,77;4,51;4,3;110,12;105,81;4,31;4;11;4;4;5;12;4;5
CLE;0,61;110,9;109,9;0,59;6;4;22;14;3;3;0,624;0,6097560975609756;0,624390243902439;0,624390243902439;0,6721311475409836;0,6721311475409836;30,25;2;1;1;1;1;1;1;0;0;2;1;1;1;1;1;1;0;0;1;0;1;2;0;0;2;1;1;3;0;0;0;0;0;0;1;1;3;1;1;1;0;2;2;1;1;1;1;1;2;0;1;1;0,94;113,58;112,56;1,02;0,59;113,61;112,94;0,67;14;5;29;14;14;5;29;14
POR;0,598;105,6;103,0;2,6;7;14;4;9;6;10;0,499;0,5975609756097561;0,5528455284552846;0,4993548387096774;0,3142857142857143;0,3;25,0;1;0;1;2;0;0;1;0;0;1;0;1;2;0;0;2;0;1;2;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;2;1;1;1;0;1;1;0;0;1;2,6;109,58;106,93;2,66;2,6;109,44;106,79;2,66;9;15;7;9;9;15;5;9
IND;0,585;105,6;104,2;1,18;8;14;6;13;2;14;0,519;0,5853658536585366;0,5487804878048781;0,5191956124314442;0,2727272727272727;0,37777777777777777;25,90909090909091;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;1;1;2;0;1;1;0;0;1;0;0;2;0;0;0;0;1;1;0;0;1;0;0;1;1,38;110,24;108,8;1,44;1,18;110,17;108,94;1,24;12;12;13;12;13;11;13;13
NOP;0,585;111,7;110,4;1,48;9;3;25;12;3;15;0,47;0,5853658536585366;0,45528455284552843;0,47003154574132494;0,5555555555555556;0,5666666666666667;27,6;2;1;2;2;0;1;3;1;2;2;1;2;3;0;0;1;0;0;0;0;0;1;1;2;2;0;0;0;0;0;3;1;2;2;1;1;2;0;1;1;0;1;1;0;1;2;0;1;2;0;1;2;1,3;110,29;109,05;1,24;1,48;110,37;108,95;1,42;13;10;14;13;12;10;14;12
UTA;0,585;104,1;99,8;4,47;10;16;1;4;4;4;0,54;0,5853658536585366;0,5396341463414634;0,5396341463414634;0,4090909090909091;0,4090909090909091;27,53846153846154;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;3;0;0;1;0;0;1;0;0;0;0;0;2;1;1;3;0;0;0;0;0;3;0;0;2;0;0;1;0;0;1;0;0;2;4,3;109,07;104,56;4,51;4,47;108,92;104,24;4,68;5;16;1;4;4;16;1;4
