Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
SAS;0,756;106,6;100,6;5,9;1;4;11;4;1,0;5,0;0,528;0,7560975609756098;0,7560975609756098;0,5284552845528455;0,6;0,4444444444444444;29,636363636363637;1,0;1,0;1,0;1,0;0,0;1,0;1,0;1,0;2,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;2,0;5,96;112,31;106,04;6,27;5,9;112,13;105,93;6,19;4;5;8;4;4;5;8;4
UTA;0,732;106,4;98,4;7,76;2;5;7;2;7,0;10,0;0,593;0,7317073170731707;0,6535008976660682;0,5932642487046632;0,4576271186440678;0,4461538461538462;28,923076923076923;2,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;2,0;4,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;0,0;0,0;0,0;2,0;2,0;1,0;2,0;3,0;1,0;2,0;4,0;1,0;2,0;3,0;1,0;2,0;3,0;0,0;1,0;1,0;7,99;115,18;106,48;8,7;7,75;115,0;106,58;8,43;2;3;11;1;2;4;10;1
PHO;0,72;110,6;106,8;3,86;3;2;24;6;3,0;3,0;0,72;0,7195121951219512;0,7195121951219512;0,7195121951219512;0,5681818181818182;0,5681818181818182;29,333333333333332;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;3,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;1,0;1,0;2,0;3,88;115,01;111,06;3,95;3,85;115,09;111,17;3,92;6;4;23;7;6;3;24;6
SEA;0,695;110,4;102,2;7,91;4;3;14;1;4,0;8,0;0,551;0,6951219512195121;0,7013888888888888;0,5506003430531733;0,4594594594594595;0,43137254901960786;28,2;3,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;1,0;2,0;3,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;2,0;4,0;0,0;2,0;4,0;0,0;1,0;4,0;0,0;0,0;4,0;0,0;0,0;0,0;8,18;115,51;107,06;8,45;7,91;115,34;107,19;8,16;1;2;13;2;1;2;14;2
ORL;0,695;110,9;103,8;6,44;5;1;18;3;2,0;2,0;0,652;0,6951219512195121;0,6524390243902439;0,6524390243902439;0,4583333333333333;0,4583333333333333;27,833333333333332;2,0;1,0;1,0;2,0;0,0;0,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;2,0;2,0;0,0;2,0;2,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0;3,0;1,0;1,0;4,0;0,0;1,0;3,0;0,0;1,0;3,0;1,0;1,0;2,0;7,06;115,89;108,48;7,41;6,44;115,9;109,13;6,77;3;1;16;3;3;1;17;3
NYK;0,671;98,2;95,1;2,78;6;19;2;10;4,0;13,0;0,717;0,6707317073170732;0,6798780487804879;0,7165876777251184;0,5555555555555556;0,6462264150943396;28,90909090909091;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;3,11;107,95;104,41;3,54;2,78;107,7;104,51;3,18;10;16;4;10;10;16;4;10
IND;0,634;99,2;95,5;3,35;7;18;4;8;2,0;16,0;0,597;0,6341463414634146;0,6036585365853658;0,5971786833855799;0,6060606060606061;0,49166666666666664;29,23076923076923;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;3,7;110,54;106,36;4,18;3,35;110,52;106,71;3,81;8;6;10;6;8;6;11;8
CHO;0,61;100,6;97,3;2,87;8;15;6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,28;110,4;106,75;3,65;2,86;110,31;107,1;3,21;9;8;12;9;9;8;13;9
LAL;0,585;105,1;105,3;-0,01;9;7;20;15;1,0;10,0;0,503;0,5853658536585366;0,5853658536585366;0,5033112582781457;0,5;0,41935483870967744;25,916666666666668;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;-0,22;109,95;110,16;-0,22;-0,01;109,95;109,96;-0,01;15;11;19;15;15;11;19;15
HOU;0,573;103,5;101,4;2,32;10;8;13;11;4,0;4,0;0,638;0,573170731707317;0,6376811594202898;0,6376811594202898;0,631578947368421;0,631578947368421;27,846153846153847;1,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;2,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;2,12;110,41;108,16;2,25;2,32;110,37;107,93;2,44;11;7;15;11;11;7;15;11
