Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
BOS;0,817;114,1;104,7;9,06;1;8;3;1;3;7;0,655;0,8170731707317073;0,7804878048780488;0,6545138888888888;0,6935483870967742;0,5876288659793815;28,166666666666668;3;0;1;2;0;0;3;0;1;2;0;1;2;0;1;4;1;1;2;0;0;4;0;1;2;1;4;4;0;0;2;0;0;3;1;2;3;1;2;3;1;2;4;1;1;3;1;2;4;0;1;1;9,41;112,4;103,16;9,24;9,06;112,54;103,67;8,87;1;3;9;1;1;2;9;1
LAL;0,756;117,3;109,5;6,84;2;1;10;3;5;5;0,717;0,7560975609756098;0,7167919799498746;0,7167919799498746;0,6867469879518072;0,6867469879518072;27,818181818181817;3;0;1;2;1;1;2;0;0;0;0;1;2;0;2;4;0;2;3;0;1;4;0;1;2;0;0;2;0;0;1;0;0;1;0;2;3;1;2;3;1;3;3;1;2;3;1;2;3;0;0;1;7,74;113,69;106,38;7,32;6,84;113,18;106,72;6,47;3;1;15;3;3;1;17;3
MIL;0,695;114,5;105,5;8,69;3;5;5;2;10;10;0,611;0,6951219512195121;0,6109725685785536;0,6109725685785536;0,47368421052631576;0,47368421052631576;26,153846153846153;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;1;1;2;0;1;2;0;1;1;1;1;5;0;1;3;0;0;2;0;0;2;0;1;4;0;2;5;1;1;2;1;2;3;0;0;1;9,04;112,05;103,09;8,95;8,69;112,17;103,58;8,59;2;4;8;2;2;4;8;2
PHI;0,659;110,4;108,0;2,46;4;11;8;5;1;1;0,659;0,6585365853658537;0,6585365853658537;0,6585365853658537;0,5;0,5;27,4;3;0;1;2;0;1;1;1;2;2;0;0;1;0;0;2;0;0;0;0;0;0;1;1;2;0;0;0;0;2;3;0;0;1;0;1;2;0;2;3;0;1;3;1;2;3;0;1;3;0;1;1;2,35;109,01;106,81;2,21;2,47;109,38;107,07;2,3;6;9;18;6;5;8;18;5
HOU;0,622;114,4;111,8;2,1;5;6;13;6;3;16;0,514;0,6219512195121951;0,5203252032520326;0,5137195121951219;0,6;0,5454545454545454;25,666666666666668;2;0;1;2;0;1;1;0;2;2;0;1;2;0;0;0;0;1;2;0;0;1;0;0;1;1;1;1;0;0;1;1;1;2;1;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;1;2,61;110,42;107,9;2,53;2,11;110,06;108,01;2,05;4;5;21;4;6;5;21;6
ATL;0,61;108,6;106,2;2,59;6;16;6;4;4;4;0,498;0,6097560975609756;0,4979919678714859;0,4979919678714859;0,42857142857142855;0,42857142857142855;24,833333333333332;1;1;1;1;0;1;2;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;2;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;3;1;1;1;2,37;108,43;106,06;2,36;2,59;108,76;106,19;2,57;5;11;13;5;4;10;14;4
DEN;0,573;114,8;113,5;0,89;7;4;17;8;6;10;0,558;0,573170731707317;0,5509761388286334;0,5575679172056921;0,4634146341463415;0,4444444444444444;26,75;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;3;0;1;1;0;1;2;0;0;1;0;0;2;0;0;2;0;0;1;1;1;2;1,3;107,64;106,53;1,11;0,89;107,16;106,43;0,73;7;12;17;9;8;12;16;9
DET;0,561;114,2;113,0;1,44;8;7;15;7;3;4;0,523;0,5609756097560976;0,573170731707317;0,5226480836236934;0,4444444444444444;0,4444444444444444;26,545454545454547;1;0;0;2;1;1;1;1;1;1;0;0;2;0;0;0;0;0;1;0;2;2;0;0;2;0;0;2;0;1;1;0;0;0;0;1;1;0;0;3;0;0;2;0;1;2;0;1;1;0;0;0;1,17;109,46;108,24;1,22;1,44;109,92;108,45;1,47;8;6;22;8;7;7;23;7
DAL;0,537;115,3;114,2;0,7;9;2;19;9;6;18;0,51;0,5365853658536586;0,43089430894308944;0,5101626016260162;0,4166666666666667;0,45081967213114754;25,181818181818183;1;0;0;2;0;0;2;0;1;2;0;0;2;0;0;1;1;1;2;0;0;3;0;0;2;0;0;1;0;0;1;0;0;1;0;0;3;0;0;2;0;0;1;0;0;1;0;0;1;0;1;2;1,1;112,55;111,3;1,25;0,7;112,45;111,59;0,86;9;2;27;7;9;3;27;8
UTA;0,512;108,2;108,5;-0,67;10;17;9;12;5;5;0,449;0,5121951219512195;0,44871794871794873;0,44871794871794873;0,4;0,4;26,416666666666668;1;1;1;1;0;0;2;0;0;2;1;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;2;1;1;1;1;1;1;1;1;2;0;1;1;0;1;2;0;1;1;-0,37;104,62;105,01;-0,39;-0,67;104,01;104,68;-0,66;12;20;10;12;12;20;10;12
POR;0,488;115,1;114,0;0,61;11;3;18;10;10;18;0,532;0,4878048780487805;0,552439024390244;0,5318428184281843;0,4915254237288136;0,4387755102040816;26,272727272727273;1;0;1;1;0;1;1;0;0;2;0;1;1;0;0;2;0;0;2;0;0;0;0;1;1;0;0;2;1;1;2;0;1;1;0;0;2;0;1;1;0;0;2;0;0;2;0;0;1;0;0;1;1,06;109,44;108,39;1,05;0,61;109,06;108,43;0,63;10;7;23;10;10;9;22;10
NJN;0,476;109,1;111,1;-1,39;12;14;12;14;1;1;0,476;0,47560975609756095;0,47560975609756095;0,47560975609756095;0,0;0,0;27,545454545454547;1;0;0;0;0;0;1;1;1;2;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;2;0;0;0;0;0;2;0;0;1;0;0;2;0;0;1;0;0;3;0;0;0;-1,99;105,46;107,28;-1,82;-1,39;105,94;107,21;-1,26;15;18;19;14;14;16;20;13
WSB;0,476;103,0;104,8;-1,28;13;21;4;13;1;14;0,465;0,5384615384615384;0,5384615384615384;0,46504559270516715;0,4;0,5208333333333334;27,3;1;0;0;1;0;0;1;0;0;1;0;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-1,8;103,35;105,25;-1,9;-1,28;103,68;105,07;-1,39;13;21;11;15;13;21;11;14
SAC;0,451;108,8;111,9;-3,19;14;15;14;20;7;8;0,447;0,45121951219512196;0,4475806451612903;0,44668008048289737;0,2222222222222222;0,2222222222222222;27,181818181818183;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;-3,07;106,57;109,54;-2,97;-3,19;106,31;109,38;-3,07;18;14;26;18;20;15;26;19
SAS;0,427;111,2;113,1;-2,06;15;10;16;15;2;15;0,481;0,4268292682926829;0,4634146341463415;0,48117839607201307;0,25;0,325;27,09090909090909;2;0;1;1;0;0;2;0;0;1;0;1;1;2;2;2;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;2;0;0;2;0;1;1;0;1;1;0;1;1;-1,85;106,99;108,8;-1,8;-2,05;106,68;108,66;-1,98;14;13;25;13;15;13;25;15
PHO;0,39;110,0;113,0;-3,16;16;12;15;19;13;13;0,523;0,3902439024390244;0,5225140712945591;0,5225140712945591;0,4567901234567901;0,4567901234567901;26,384615384615383;0;0;0;2;0;0;2;0;0;1;0;0;2;0;2;4;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;2;-2,99;104,82;107,47;-2,65;-3,16;104,34;107,16;-2,82;17;19;20;16;19;19;19;18
LAC;0,39;108,6;115,5;-6,83;17;16;20;23;2;2;0,398;0,3902439024390244;0,39805825242718446;0,39805825242718446;-1,0;-1,0;26,727272727272727;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;2;0;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-6,93;105,83;112,43;-6,61;-6,83;105,72;112,23;-6,51;23;17;29;23;23;17;29;23
SEA;0,378;104,4;104,5;-0,47;18;19;2;11;1;1;0,378;0,3780487804878049;0,3780487804878049;0,3780487804878049;-1,0;-1,0;27,333333333333332;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;-0,1;106,24;106,41;-0,18;-0,47;105,69;106,21;-0,52;11;15;16;11;11;18;15;11
CHI;0,366;109,3;113,1;-3,12;19;13;16;18;1;8;0,518;0,36585365853658536;0,36585365853658536;0,517829457364341;0,0;0,4090909090909091;26,363636363636363;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;1;1;0;0;1;0;0;2;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;-3,8;109,12;112,89;-3,77;-3,12;109,95;113,06;-3,11;21;8;30;21;18;6;30;20
GSW;0,366;113,4;116,9;-3,59;20;9;21;21;4;4;0,356;0,36585365853658536;0,35580524344569286;0,35580524344569286;-1,0;-1,0;26,583333333333332;0;0;1;2;0;1;1;0;1;2;0;1;2;0;0;1;0;0;1;0;2;3;0;1;3;0;1;2;0;0;2;0;0;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;2;-3,45;108,81;112,07;-3,26;-3,59;108,69;112,08;-3,39;20;10;28;20;21;11;28;21
CLE;0,354;107,8;110,6;-2,19;21;18;11;16;1;1;0,267;0,26666666666666666;0,26666666666666666;0,26666666666666666;-1,0;-1,0;27,53846153846154;0;0;1;2;0;1;1;0;0;0;0;0;2;0;0;2;1;2;2;0;0;2;0;0;2;0;1;2;0;0;1;0;0;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;2;-2,87;105,87;108,69;-2,82;-2,19;106,37;108,53;-2,17;16;16;24;17;16;14;24;16
IND;0,317;103,9;107,2;-2,66;22;20;7;17;2;2;0,293;0,3170731707317073;0,2926829268292683;0,2926829268292683;-1,0;-1,0;25,0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-3,33;103,07;106,3;-3,23;-2,66;103,43;106,03;-2,59;19;22;14;19;17;22;13;17
NYK;0,28;98,7;104,3;-4,82;23;22;1;22;4;11;0,488;0,2804878048780488;0,42073170731707316;0,4883720930232558;0,4444444444444444;0,5254237288135594;25,666666666666668;1;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-5,61;100,2;106,05;-5,85;-4,82;100,54;105,62;-5,07;22;23;12;22;22;23;12;22
