Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
CHI;0,841;103,1;92,3;10,7;1;1;6;1;8,0;8,0;0,736;0,8414634146341463;0,7362804878048781;0,7362804878048781;0,732824427480916;0,732824427480916;30,615384615384617;2,0;1,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;1,0;1,0;3,0;1,0;2,0;2,0;1,0;3,0;4,0;1,0;2,0;2,0;1,0;2,0;3,0;1,0;1,0;1,0;10,8;114,88;102,99;11,9;10,7;115,01;103,19;11,82;1;1;4;1;1;1;5;1
UTA;0,78;103,1;94,3;7,97;2;1;8;2;9,0;12,0;0,616;0,7804878048780488;0,6699029126213593;0,6164529914529915;0,5154639175257731;0,5048543689320388;28,5;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;3,0;0,0;0,0;0,0;0,0;2,0;3,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;2,0;2,0;1,0;2,0;3,0;2,0;2,0;3,0;1,0;2,0;3,0;1,0;2,0;3,0;1,0;1,0;1,0;8,79;114,41;104,75;9,66;7,97;113,94;105,23;8,72;2;2;11;2;2;2;11;2
MIA;0,744;94,8;89,3;5,56;3;18;3;4;2,0;15,0;0,705;0,7439024390243902;0,6280487804878049;0,70467596390484;0,4;0,625;26,90909090909091;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;2,0;3,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;3,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;3,0;5,49;107,67;101,38;6,3;5,56;107,71;101,31;6,4;4;12;2;4;4;12;2;4
HOU;0,695;100,6;96,1;3,85;4;4;13;7;6,0;6,0;0,639;0,6951219512195121;0,6386363636363637;0,6386363636363637;0,5925925925925926;0,5925925925925926;29,2;3,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;2,0;3,0;0,0;0,0;3,0;0,0;1,0;1,0;0,0;0,0;3,0;0,0;1,0;3,0;0,0;1,0;1,0;4,48;109,31;104,57;4,74;3,85;108,82;104,8;4,02;7;8;10;7;7;8;10;7
SEA;0,695;100,9;93,2;6,91;5;3;7;3;6,0;10,0;0,592;0,6951219512195121;0,7146017699115044;0,5917001338688086;0,5142857142857142;0,4880952380952381;30,333333333333332;3,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;0,0;5,0;0,0;1,0;2,0;0,0;0,0;5,0;0,0;0,0;2,0;7,68;112,02;103,67;8,35;6,91;111,5;104,03;7,47;3;3;7;3;3;5;7;3
NYK;0,695;95,4;92,2;3,31;6;16;5;10;2,0;2,0;0,667;0,6951219512195121;0,6666666666666666;0,6666666666666666;0,5555555555555556;0,5555555555555556;28,727272727272727;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;3,12;105,26;101,9;3,36;3,31;105,29;101,68;3,61;10;25;3;10;10;25;3;10
ATL;0,683;94,8;89,4;5,52;7;18;4;5;4,0;24,0;0,55;0,6829268292682927;0,6128048780487805;0,5498458376156218;0,38235294117647056;0,4722222222222222;28,3;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;4,0;0,0;0,0;3,0;0,0;1,0;3,0;0,0;1,0;1,0;1,0;1,0;1,0;5,44;109,37;103,26;6,1;5,52;109,42;103,2;6,22;5;7;5;6;5;7;6;6
LAL;0,683;100,0;95,7;3,66;8;6;12;8;3,0;12,0;0,532;0,6829268292682927;0,6382113821138211;0,5321001088139282;0,43478260869565216;0,41333333333333333;26,181818181818183;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;4,27;108,84;104,44;4,4;3,66;108,34;104,65;3,7;8;9;9;9;8;9;9;9
DET;0,659;94,2;88,9;5,45;9;19;2;6;2,0;5,0;0,578;0,6585365853658537;0,6097560975609756;0,5780487804878048;0,25;0,39473684210526316;26,916666666666668;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;5,24;111,44;105,29;6,15;5,44;111,68;105,3;6,38;6;5;12;5;6;4;12;5
CHO;0,659;98,9;97,0;2,13;10;10;14;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,87;111,64;109,59;2,04;2,13;112,02;109,65;2,37;11;4;23;12;12;3;23;12
