Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
CHI;0,756;98,6;91,3;6,53;1;18;2;2;1;1;0,756;0,7560975609756098;0,7560975609756098;0,7560975609756098;0,5625;0,5625;27,09090909090909;1;0;1;1;0;1;1;0;1;2;0;1;2;0;0;1;0;0;0;1;1;2;0;1;1;0;0;1;0;0;0;0;0;2;0;1;1;0;1;2;0;0;2;1;1;2;1;1;2;1;1;2;7,32;109,3;101,07;8,23;6,53;109,02;101,65;7,37;2;11;1;2;2;12;1;2
SAS;0,744;103,7;98,0;5,86;2;6;14;4;15;15;0,675;0,7439024390243902;0,6754237288135593;0,6754237288135593;0,5966850828729282;0,5966850828729282;28,636363636363637;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2;0;1;3;0;0;1;0;0;1;0;0;1;0;1;1;0;0;3;0;0;2;0;0;2;0;1;2;0;1;2;0;0;1;5,71;112,31;106,23;6,07;5,86;112,22;105,97;6,25;4;3;11;4;4;3;10;4
MIA;0,707;102,1;94,6;6,76;3;8;6;1;3;3;0,602;0,7073170731707317;0,6016260162601627;0,6016260162601627;0,5454545454545454;0,5454545454545454;30,25;3;2;2;3;0;0;1;0;0;1;1;2;2;0;0;1;0;0;0;0;0;2;0;2;3;1;1;2;0;0;2;0;0;0;2;2;2;1;2;3;1;2;3;1;2;2;1;2;2;0;2;2;7,46;112,62;104,35;8,27;6,76;112,43;104,94;7,49;1;2;5;1;1;2;6;1
DAL;0,695;100,2;96,0;4,41;4;11;10;8;3;9;0,6;0,6951219512195121;0,6585365853658537;0,6002710027100271;0,6216216216216216;0,5353535353535354;30,5;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;3;0;0;1;0;1;1;0;0;1;1;1;3;0;1;1;0;0;0;0;1;1;0;1;2;0;2;3;0;1;2;0;1;1;0;0;1;4,23;110,24;105,76;4,49;4,41;110,08;105,4;4,68;8;8;7;8;8;9;7;8
LAL;0,695;101,5;95,4;6,01;5;9;8;3;11;20;0,704;0,6951219512195121;0,6762749445676275;0,7042682926829268;0,6519337016574586;0,6876876876876877;29,09090909090909;2;0;1;2;0;0;0;0;1;3;0;1;2;0;0;1;0;0;0;0;0;0;0;1;2;0;1;1;0;0;1;0;1;2;0;1;3;1;1;3;1;2;4;0;2;3;0;2;4;1;1;1;6,11;111,61;105,0;6,61;6,01;111,4;104,89;6,51;3;7;6;3;3;7;5;3
BOS;0,683;96,5;91,1;4,83;6;21;1;6;7;12;0,555;0,6829268292682927;0,5853658536585366;0,5553121577217963;0,575;0,5368421052631579;28,545454545454547;4;0;0;1;1;1;1;0;0;1;0;0;0;1;2;2;0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;2;0;1;3;0;0;4;0;1;4;0;0;4;0;0;1;5,37;107,36;101,46;5,9;4,83;107,03;101,73;5,3;6;18;2;6;6;20;2;6
OKC;0,671;104,8;101,0;3,81;7;5;18;9;3;3;0,545;0,6707317073170732;0,5450643776824035;0,5450643776824035;0,4782608695652174;0,4782608695652174;23,9;2;1;1;2;0;1;1;0;0;0;0;1;2;0;0;1;0;0;1;0;0;1;1;2;2;0;0;1;0;1;1;1;1;1;0;2;2;0;1;2;0;0;1;0;1;2;0;1;2;0;2;2;3,79;112,2;108,06;4,14;3,81;112,09;107,93;4,16;9;4;16;9;9;4;15;9
ORL;0,634;99,2;93,7;4,92;8;15;4;5;4;7;0,651;0,6341463414634146;0,676829268292683;0,6510721247563352;0,5555555555555556;0,573170731707317;27,0;1;0;0;1;0;0;2;1;1;1;0;0;1;0;0;1;1;2;2;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;0;1;1;0;1;2;0;0;1;5,46;108,78;102,87;5,91;4,92;108,63;103,31;5,32;5;14;3;5;5;15;3;5
DEN;0,61;107,5;102,7;4,81;9;1;21;7;7;23;0,596;0,6097560975609756;0,6165413533834586;0,5957446808510638;0,34782608695652173;0,436046511627907;28,0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;2;2;0;1;1;0;0;2;0;1;2;0;1;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;3;0;0;1;0;0;3;1;1;1;4,76;112,84;108,03;4,82;4,81;112,73;107,84;4,89;7;1;15;7;7;1;14;7
POR;0,585;96,3;94,8;1,85;10;22;7;12;6;11;0,516;0,5853658536585366;0,5;0,5163472378804961;0,3333333333333333;0,4117647058823529;26,272727272727273;0;0;0;1;0;0;1;0;1;2;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1,52;109,78;107,93;1,85;1,85;109,73;107,54;2,19;12;10;13;12;12;10;13;12
