Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
DAL;0,817;100,0;92,8;7,28;1;9;4;2;3,0;3,0;0,786;0,8170731707317073;0,7857142857142857;0,7857142857142857;0,5238095238095238;0,5238095238095238;27,692307692307693;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;3,0;1,0;1,0;3,0;1,0;1,0;3,0;1,0;1,0;3,0;0,0;0,0;1,0;7,22;112,32;104,12;8,2;7,28;112,23;103,98;8,25;3;2;5;2;2;2;5;2
PHO;0,744;110,2;102,9;7,28;2;1;21;2;4,0;5,0;0,594;0,7439024390243902;0,6449511400651465;0,5938375350140056;0,5434782608695652;0,5434782608695652;27,444444444444443;3,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;2,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;3,0;4,0;0,0;2,0;3,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;1,0;7,3;114,68;106,9;7,78;7,27;114,66;106,9;7,76;2;1;13;3;3;1;12;3
SAS;0,707;98,5;90,1;8,35;3;14;1;1;11,0;11,0;0,676;0,7073170731707317;0,676056338028169;0,676056338028169;0,6433566433566433;0,6433566433566433;30,333333333333332;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;3,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;2,0;3,0;1,0;1,0;3,0;2,0;3,0;4,0;1,0;2,0;3,0;0,0;2,0;4,0;0,0;0,0;3,0;8,43;110,11;100,64;9,47;8,35;109,84;100,47;9,37;1;5;2;1;1;5;1;1
DET;0,646;96,0;91,8;3,69;4;21;2;5;2,0;12,0;0,586;0,6463414634146342;0,7134146341463414;0,586015538290788;0,5882352941176471;0,4567901234567901;29,75;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;4,16;109,8;104,87;4,93;3,68;109,72;105,33;4,39;6;6;6;6;6;6;7;6
HOU;0,634;97,0;92,1;5,04;5;17;3;3;4,0;11,0;0,575;0,6341463414634146;0,5548780487804879;0,5748663101604278;0,3684210526315789;0,5;27,083333333333332;2,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;2,0;2,0;0,0;0,0;2,0;0,0;1,0;4,0;0,0;0,0;2,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;1,0;2,0;0,0;2,0;2,0;1,0;2,0;2,0;4,85;106,64;101,31;5,33;5,04;106,43;100,9;5,53;5;15;3;5;4;17;3;4
UTA;0,622;101,5;98,6;3,06;6;7;15;7;19,0;22,0;0,6;0,6219512195121951;0,6235917826375083;0,6003480278422274;0,5029585798816568;0,49714285714285716;25,083333333333332;2,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;2,87;110,65;107,4;3,25;3,06;110,7;107,24;3,45;8;3;14;8;8;3;15;8
CLE;0,61;96,8;92,9;3,33;7;19;5;6;2,0;2,0;0,61;0,6097560975609756;0,6097560975609756;0,6097560975609756;0,5757575757575758;0,5757575757575758;27,727272727272727;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;3,83;106,15;102,1;4,05;3,33;105,92;102,41;3,52;7;18;4;7;7;19;4;7
CHI;0,598;98,8;93,8;4,52;8;13;6;4;4,0;7,0;0,536;0,5975609756097561;0,5;0,5364891518737672;0,45454545454545453;0,42857142857142855;26,153846153846153;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;4,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;1,0;5,01;105,71;100,32;5,39;4,52;105,36;100,5;4,86;4;22;1;4;5;23;2;5
TOR;0,573;99,5;98,5;0,61;9;11;14;9;3,0;3,0;0,435;0,573170731707317;0,4349593495934959;0,4349593495934959;0,3333333333333333;0,3333333333333333;26,416666666666668;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,99;107,92;106,56;1,36;0,61;107,84;106,91;0,93;10;10;12;10;10;11;13;10
DEN;0,549;105,4;103,7;1,69;10;3;24;8;3,0;19,0;0,588;0,5487804878048781;0,5931372549019608;0,5875265768958186;0,2;0,4397163120567376;26,166666666666668;1,0;1,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;2,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,62;108,12;106,51;1,62;1,69;107,95;106,24;1,7;9;9;10;9;9;9;9;9
