Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
SEA;0,768;105,9;96,9;8,68;1;5;6;1;3,0;7,0;0,527;0,7682926829268293;0,7038834951456311;0,5269461077844312;0,48484848484848486;0,44680851063829785;28,272727272727273;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;2,0;2,0;1,0;2,0;4,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;3,0;1,0;2,0;4,0;0,0;0,0;3,0;0,0;1,0;3,0;1,0;1,0;1,0;9,09;111,79;102,54;9,25;8,68;111,55;102,71;8,84;1;2;7;1;1;2;7;1
HOU;0,707;101,1;96,8;4,19;2;13;5;6;3,0;3,0;0,665;0,7073170731707317;0,6649484536082474;0,6649484536082474;0,6;0,6;27,181818181818183;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;4,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;4,32;106,42;101,95;4,47;4,19;106,27;101,93;4,34;6;15;5;6;6;15;5;6
NYK;0,695;98,5;91,5;6,48;3;19;1;2;3,0;12,0;0,72;0,6951219512195121;0,6829268292682927;0,7204522096608428;0,5576923076923077;0,6517412935323383;29,0;3,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;2,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;6,99;106,3;98,86;7,44;6,48;105,75;98,84;6,9;2;16;4;2;2;16;4;2
ATL;0,695;101,4;96,2;4,94;4;11;4;4;1,0;21,0;0,545;0,6951219512195121;0,6951219512195121;0,5447058823529412;0,45454545454545453;0,49586776859504134;28,7;1,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;4,0;0,0;1,0;2,0;0,0;1,0;3,0;1,0;1,0;1,0;5,27;107,71;102,37;5,33;4,94;107,43;102,43;5,0;3;13;6;4;4;13;6;4
PHO;0,683;108,2;103,4;4,68;5;1;14;5;2,0;2,0;0,72;0,6829268292682927;0,7195121951219512;0,7195121951219512;0,5588235294117647;0,5588235294117647;28,666666666666668;2,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;3,0;1,0;2,0;3,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;1,0;2,0;0,0;1,0;3,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;1,0;3,0;0,0;0,0;3,0;4,84;112,34;107,39;4,94;4,68;112,4;107,62;4,78;5;1;19;5;5;1;19;5
CHI;0,671;98,0;94,9;2,87;6;20;3;11;5,0;5,0;0,72;0,6707317073170732;0,7195121951219512;0,7195121951219512;0,7261904761904762;0,7261904761904762;27,615384615384617;3,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;1,0;3,09;106,85;103,54;3,31;2,87;106,62;103,54;3,08;11;14;9;11;11;14;9;11
SAS;0,671;100,0;94,8;5,05;7;18;2;3;2,0;2,0;0,657;0,6707317073170732;0,6573426573426573;0,6573426573426573;0,42857142857142855;0,42857142857142855;28,583333333333332;1,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5,26;111,19;105,49;5,7;5,05;111,31;105,83;5,47;4;4;13;3;3;3;13;3
UTA;0,646;101,9;97,7;4,1;8;10;9;7;6,0;9,0;0,577;0,6463414634146342;0,64;0,5768115942028985;0,46296296296296297;0,45;28,272727272727273;2,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;3,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;2,0;2,0;0,0;2,0;2,0;0,0;1,0;2,0;1,0;2,0;2,0;1,0;2,0;2,0;0,0;1,0;1,0;4,22;109,21;104,77;4,43;4,1;109,28;104,97;4,31;7;7;10;7;7;7;10;7
GSW;0,61;107,9;106,1;1,76;9;2;21;15;6,0;17,0;0,584;0,6097560975609756;0,5345528455284553;0,5835755813953488;0,375;0,45535714285714285;25,25;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;1,74;108,75;107,02;1,73;1,76;108,77;107,02;1,75;15;10;16;15;15;10;16;15
ORL;0,61;105,7;101,8;3,68;10;6;13;8;1,0;1,0;0,61;0,6097560975609756;0,6097560975609756;0,6097560975609756;0,0;0,0;27,454545454545453;1,0;1,0;1,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;3,0;0,0;1,0;2,0;0,0;1,0;1,0;3,89;111,28;107,34;3,94;3,68;111,29;107,57;3,73;9;3;18;9;8;4;18;9
POR;0,573;107,3;104,6;2,6;11;3;17;12;6,0;6,0;0,654;0,573170731707317;0,6539325842696629;0,6539325842696629;0,5217391304347826;0,5217391304347826;27,545454545454547;2,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;2,63;108,87;106,23;2,64;2,6;108,84;106,24;2,6;13;9;15;13;12;9;15;12
CLE;0,573;101,2;97,1;3,64;12;12;7;9;1,0;9,0;0,563;0,573170731707317;0,573170731707317;0,5629742033383915;0,0;0,4186046511627907;28,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;2,0;3,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;4,02;110,05;105,82;4,23;3,64;109,85;106,03;3,83;8;6;14;8;9;6;14;8
IND;0,573;101,0;97,5;3,26;13;14;8;10;1,0;15,0;0,595;0,573170731707317;0,573170731707317;0,5946398659966499;0,625;0,47572815533980584;27,166666666666668;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;3,45;108,49;105,06;3,43;3,26;108,4;105,16;3,24;10;11;11;10;10;11;11;10
NJN;0,549;103,2;101,0;2,11;14;8;12;14;2,0;12,0;0,598;0,5487804878048781;0,5365853658536586;0,5980911983032874;0,3333333333333333;0,6065573770491803;26,181818181818183;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;2,2;107,73;105,38;2,34;2,11;107,65;105,39;2,25;14;12;12;14;14;12;12;14
DEN;0,512;100,3;98,8;1,54;15;17;10;16;2,0;2,0;0,476;0,5121951219512195;0,47560975609756095;0,47560975609756095;0,5;0,5;24,363636363636363;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;2,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,49;104,58;103,14;1,45;1,54;104,49;102,98;1,51;16;20;8;16;16;20;8;16
MIA;0,512;103,4;100,7;2,4;16;7;11;13;3,0;19,0;0,466;0,5121951219512195;0,4715447154471545;0,46572280178837555;0,25;0,4576271186440678;25,727272727272727;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;2,0;2,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;2,67;110,21;107,34;2,88;2,4;110,13;107,54;2,59;12;5;18;12;13;5;17;13
CHO;0,5;106,5;106,7;-0,23;17;4;22;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,22;108,98;109,11;-0,12;-0,23;109,11;109,25;-0,13;17;8;20;17;17;8;21;17
LAL;0,402;100,4;104,7;-3,93;18;16;18;18;1,0;1,0;0,313;0,3125;0,3125;0,3125;-1,0;-1,0;28,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;-4,29;105,48;109,89;-4,42;-3,93;105,66;109,71;-4,04;19;17;25;18;18;17;24;18
BOS;0,39;100,8;105,1;-4,28;19;15;19;19;4,0;4,0;0,57;0,3902439024390244;0,5701219512195121;0,5701219512195121;0,48;0,48;27,454545454545453;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-4,28;104,91;109,45;-4,54;-4,27;104,87;109,4;-4,53;18;19;22;19;19;19;22;19
SAC;0,341;101,1;106,9;-5,32;20;13;23;21;2,0;2,0;0,323;0,34146341463414637;0,3231707317073171;0,3231707317073171;-1,0;-1,0;25,916666666666668;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;-5,77;104,01;109,83;-5,82;-5,32;104,19;109,56;-5,37;21;21;23;21;21;21;23;21
LAC;0,329;103,0;108,7;-5,28;21;9;25;20;1,0;6,0;0,427;0,32926829268292684;0,32926829268292684;0,4268292682926829;-1,0;0,18181818181818182;26,071428571428573;0,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;4,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;-5,72;103,66;109,31;-5,65;-5,28;103,8;109,01;-5,21;20;22;21;20;20;22;20;20
PHI;0,305;98,0;105,6;-7,37;22;20;20;25;2,0;2,0;0,296;0,3048780487804878;0,2962962962962963;0,2962962962962963;-1,0;-1,0;27,166666666666668;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;-7,62;102,32;110,27;-7,95;-7,37;102,41;110,09;-7,69;25;26;27;25;25;26;28;25
WSB;0,293;100,4;107,7;-7,13;23;16;24;24;7,0;7,0;0,369;0,2926829268292683;0,3692870201096892;0,3692870201096892;0,4;0,4;25,416666666666668;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-7,38;105,07;112,82;-7,75;-7,13;105,32;112,81;-7,49;24;18;30;24;24;18;30;24
MIN;0,244;96,7;103,6;-6,55;24;22;15;23;2,0;2,0;0,244;0,24390243902439024;0,24444444444444444;0,24444444444444444;-1,0;-1,0;26,083333333333332;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;-6,93;102,62;109,88;-7,26;-6,54;102,88;109,75;-6,86;23;25;24;23;23;25;25;23
MIL;0,244;96,9;103,4;-6,24;25;21;14;22;2,0;4,0;0,454;0,24390243902439024;0,2926829268292683;0,45426829268292684;-1,0;0,5652173913043478;26,09090909090909;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;-6,48;103,18;109,97;-6,79;-6,24;103,24;109,79;-6,55;22;24;26;22;22;24;26;22
