Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
UTA;0,74;93,3;86,8;5,54;1;9;5;3;11,0;14,0;0,633;0,74;0,6822977725674091;0,6329588014981273;0,53125;0,5223880597014925;29,90909090909091;0,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;4,0;1,0;2,0;3,0;1,0;1,0;2,0;1,0;2,0;3,0;1,0;1,0;1,0;6,52;106,47;99,06;7,41;5,54;105,27;98,96;6,31;2;4;8;2;3;8;8;2
SAS;0,74;92,8;84,7;7,12;2;12;3;1;3,0;3,0;0,561;0,74;0,5612244897959183;0,5612244897959183;0,7307692307692307;0,7307692307692307;30,272727272727273;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;2,0;2,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;2,0;2,0;1,0;2,0;3,0;1,0;2,0;2,0;1,0;2,0;4,0;0,0;2,0;2,0;1,0;1,0;2,0;0,0;0,0;1,0;8,06;105,08;95,9;9,19;7,12;103,97;95,84;8,13;1;11;2;1;1;11;2;1
POR;0,7;94,8;88,5;5,67;3;5;9;2;2,0;8,0;0,463;0,7;0,6136363636363636;0,46314102564102566;0,47058823529411764;0,525;27,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;4,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;0,0;6,36;105,54;98,5;7,03;5,67;104,49;98,24;6,26;3;9;6;3;2;10;5;3
ORL;0,66;89,5;86,9;3,11;4;20;6;7;2,0;14,0;0,593;0,66;0,5606060606060606;0,5934883720930233;0,25;0,5952380952380952;27,77777777777778;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;2,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;0,0;2,6;100,84;98,0;2,84;3,11;101,48;98,06;3,42;9;23;3;9;7;22;3;7
IND;0,66;94,7;90,9;3,86;5;6;12;6;2,0;2,0;0,689;0,66;0,6893939393939394;0,6893939393939394;0,6551724137931034;0,6551724137931034;31,22222222222222;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;1,0;1,0;3,74;109,68;105,34;4,34;3,86;110,56;106,1;4,47;5;1;25;5;6;1;26;6
MIA;0,66;89,0;84,0;5,11;6;21;2;4;4,0;17,0;0,701;0,66;0,6452702702702703;0,7009622501850481;0,4;0,6157024793388429;30,22222222222222;0,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;3,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;4,96;105,76;99,91;5,85;5,11;106,23;100,23;6,0;4;7;9;4;4;5;9;4
LAL;0,62;99,0;96,0;2,68;7;2;24;9;1,0;1,0;0,649;0,6486486486486487;0,6486486486486487;0,6486486486486487;0,375;0,375;27,125;0,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;3,02;108,16;105,02;3,15;2,67;107,69;104,91;2,78;7;2;24;8;9;2;23;10
ATL;0,62;86,3;83,4;2,82;8;25;1;8;6,0;26,0;0,554;0,62;0,6130434782608696;0,5538979788257941;0,3617021276595745;0,4585987261146497;29,4;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;2,0;2,9;101,41;98,09;3,32;2,82;101,55;98,33;3,23;8;19;4;7;8;20;6;8
HOU;0,62;94,2;91,9;1,39;9;7;14;14;8,0;8,0;0,617;0,62;0,6171328671328671;0,6171328671328671;0,5666666666666667;0,5666666666666667;28,88888888888889;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;2,0;2,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;2,32;106,13;103,61;2,52;1,39;105,12;103,62;1,5;10;5;16;11;14;9;15;14
DET;0,58;90,4;86,9;3,97;10;18;6;5;2,0;3,0;0,488;0,58;0,5172413793103449;0,4878048780487805;0,4;0,4;27,9;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;3,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;2,0;2,0;3,42;105,28;101,14;4,14;3,97;106,21;101,48;4,74;6;10;10;6;5;6;11;5
