Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
MIL;0,707;116,9;113,3;3,61;1;8;10;4;5;10;0,604;0,7073170731707317;0,6930946291560103;0,6042446941323346;0,6;0,5384615384615384;29,466666666666665;2;0;1;1;0;0;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;2;0;1;1;1;1;3;0;0;0;1;1;1;1;1;1;0;0;2;0;0;1;0;1;2;0;1;1;1;1;1;3,63;116,13;112,64;3,49;3,61;116,12;112,64;3,48;5;12;4;5;4;13;4;5
BOS;0,695;117,9;111,4;6,38;2;4;4;1;1;1;0,695;0,6951219512195121;0,6951219512195121;0,6951219512195121;0,55;0,55;27,583333333333332;2;0;1;2;0;0;1;0;0;1;0;1;2;0;1;2;0;1;1;0;2;3;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;3;0;1;1;0;0;3;0;1;2;6,52;118,98;112,28;6,7;6,38;119,04;112,48;6,56;1;2;3;1;1;2;3;1
PHI;0,659;115,2;110,9;4,37;3;12;3;3;3;24;0,59;0,6585365853658537;0,652542372881356;0,5897849462365592;0,5714285714285714;0,5162790697674419;27,692307692307693;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;2;0;0;1;1;1;2;0;0;0;0;1;1;0;1;1;1;1;2;1;1;2;1;1;3;1;1;2;1;1;2;1;1;1;4,32;118,87;114,51;4,35;4,37;118,98;114,56;4,42;3;3;10;3;3;3;10;3
DEN;0,646;115,8;112,5;3,04;4;11;7;6;8;10;0,546;0,6463414634146342;0,576138147566719;0,5464333781965006;0,5441176470588235;0,5441176470588235;27,071428571428573;1;0;0;1;0;1;2;1;1;1;0;0;1;1;1;2;0;0;1;1;1;3;0;0;1;0;1;1;0;0;2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;3,33;118,38;115,05;3,34;3,04;118,22;115,18;3,04;6;5;15;6;6;5;16;7
CLE;0,622;112,3;106,9;5,23;5;21;1;2;4;7;0,447;0,6219512195121951;0,4939271255060729;0,4470842332613391;0,2;0,2;27,076923076923077;1;0;1;1;0;1;1;0;0;2;0;1;1;0;0;2;0;1;1;0;1;1;0;0;1;0;0;2;0;0;1;0;1;2;0;0;1;0;1;4;0;1;1;0;1;1;0;0;1;0;0;1;5,38;117,31;111,69;5,62;5,23;117,31;111,84;5,47;2;8;1;2;2;8;1;2
MEM;0,622;116,9;113,0;3,6;6;8;8;5;4;4;0,579;0,6219512195121951;0,5792880258899676;0,5792880258899676;0,391304347826087;0,391304347826087;23,785714285714285;2;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;0;2;0;0;0;0;0;1;0;0;1;0;0;2;0;1;1;3,94;116,01;112,07;3,93;3,6;115,68;112,09;3,59;4;15;2;4;5;18;2;4
SAC;0,585;120,7;118,1;2,3;7;1;21;8;1;9;0,612;0,5853658536585366;0,5853658536585366;0,6124031007751938;0,42857142857142855;0,5555555555555556;25,846153846153847;2;0;0;1;0;0;2;1;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;2,65;119,97;117,48;2,49;2,3;119,86;117,72;2,14;8;1;24;8;8;1;25;8
NYK;0,573;116,0;113,1;2,99;8;10;9;7;3;11;0,572;0,573170731707317;0,5296610169491526;0,5719424460431655;0,4375;0,4305555555555556;23,9;1;0;0;2;0;0;1;0;0;2;0;0;2;1;2;2;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;0;0;2;0;0;2;0;0;1;2,93;118,86;115,83;3,03;2,99;118,98;115,88;3,1;7;4;19;7;7;3;19;6
PHO;0,549;113,6;111,6;2,08;9;15;5;9;4;9;0,522;0,5487804878048781;0,627831715210356;0,5220483641536273;0,5869565217391305;0,5178571428571429;27,642857142857142;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;2,07;116,05;113,94;2,12;2,08;115,97;113,86;2,11;9;14;7;9;9;14;7;9
BRK;0,549;113,4;112,5;1,03;10;16;7;14;2;5;0,359;0,5733333333333334;0,5882352941176471;0,3588039867109635;0,0;0,0;28,0;0;0;1;2;0;0;1;0;0;1;0;2;2;0;1;1;0;1;1;0;2;3;0;1;1;1;3;3;0;0;1;1;2;2;0;1;2;0;1;1;0;0;2;0;0;2;0;1;2;0;0;2;0,85;116,07;115,07;1,0;1,03;116,19;115,01;1,18;15;13;16;15;14;12;15;14
