Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
BOS;0,805;100,5;90,3;9,3;1;11;2;1;4;9;0,508;0,8048780487804879;0,5121951219512195;0,5082458770614693;0,5757575757575758;0,5;27,09090909090909;3;0;0;0;0;0;1;0;0;1;0;0;1;0;1;3;0;1;2;0;0;0;0;0;1;0;1;2;0;0;3;0;0;2;0;1;2;0;2;3;1;2;4;0;2;3;0;2;2;0;0;0;10,26;111,1;99,75;11,35;9,31;110,55;100,23;10,32;1;9;1;1;1;10;1;1
DET;0,72;97,5;90,1;6,67;2;16;1;4;3;13;0,597;0,7195121951219512;0,7154471544715447;0,5971515768056969;0,5882352941176471;0,47959183673469385;26,6;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;2;0;1;1;0;1;1;0;1;2;0;1;2;0;1;2;0;0;0;7,39;112,09;103,64;8,45;6,67;111,76;104,09;7,66;2;7;4;2;4;8;4;3
LAL;0,695;108,6;101,3;7,34;3;4;18;2;8;17;0,7;0,6951219512195121;0,6570121951219512;0,7001434720229556;0,656;0,6967509025270758;25,88888888888889;1;1;1;1;0;0;1;0;1;2;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;2;0;1;2;0;1;2;0;1;2;1;1;1;0;1;2;1;1;1;7,26;113,71;106,08;7,63;7,34;113,72;105,99;7,73;3;3;5;3;2;3;5;2
SAS;0,683;95,4;90,6;5,1;4;26;3;7;12;12;0,677;0,6829268292682927;0,6766595289079229;0,6766595289079229;0,63125;0,63125;31,923076923076923;1;0;0;0;0;0;1;0;1;1;0;0;2;0;1;1;0;0;1;0;0;2;0;0;2;1;1;1;0;0;1;0;1;1;0;2;3;0;0;2;0;1;4;0;2;2;1;2;3;0;3;3;4,79;107,91;102,54;5,37;5,1;107,8;102,11;5,68;8;15;3;7;7;15;3;6
NOH;0,683;100,9;95,6;5,46;5;9;5;5;4;8;0,487;0,6829268292682927;0,4603658536585366;0,487012987012987;0,5833333333333334;0,6153846153846154;27,333333333333332;2;0;0;2;1;1;1;0;1;2;0;1;2;0;1;1;1;1;1;0;1;2;0;0;1;1;1;2;1;1;1;0;0;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;0;0;1;5,28;112,21;106,44;5,77;5,46;112,3;106,34;5,96;6;5;7;6;5;5;6;5
HOU;0,671;96,7;92,0;4,83;6;21;4;8;1;17;0,614;0,6707317073170732;0,6707317073170732;0,6136882129277567;0,3333333333333333;0,5;28,153846153846153;1;0;0;2;0;0;2;0;1;1;0;1;2;0;1;2;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;4;0;0;0;0;0;2;0;1;2;4,68;107,47;102,17;5,3;4,83;107,3;101,85;5,45;9;17;2;8;8;17;2;7
PHO;0,671;110,1;105,0;5,14;7;3;24;6;5;6;0,608;0,6707317073170732;0,6503856041131105;0,6082004555808656;0,5098039215686274;0,5098039215686274;28,444444444444443;2;0;1;1;1;1;1;0;0;2;0;1;1;0;1;1;0;2;3;1;2;2;0;1;1;0;0;2;0;1;1;0;1;2;1;1;3;1;1;2;1;1;3;0;0;2;0;1;3;0;1;1;5,05;114,04;108,77;5,27;5,14;114,22;108,86;5,36;7;2;16;9;6;2;17;8
UTA;0,659;106,2;99,3;6,86;8;5;13;3;20;23;0,603;0,6585365853658537;0,6253928346951603;0,6029900332225914;0,5027624309392266;0,49732620320855614;25,5;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;2;0;0;2;0;0;3;0;0;3;0;1;3;0;0;1;6,88;114,52;107,05;7,47;6,87;114,6;107,15;7,44;4;1;11;4;3;1;11;4
ORL;0,634;104,5;99,0;4,79;9;6;11;9;1;4;0,614;0,6341463414634146;0,6341463414634146;0,6142322097378277;0,5;0,5789473684210527;27,25;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;3;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;3;0;0;1;0;0;3;0;0;1;0;0;0;5,46;112,12;106,26;5,86;4,79;111,89;106,75;5,14;5;6;6;5;9;7;7;10
DAL;0,622;100,4;95,9;4,7;10;12;6;10;4;4;0,735;0,6219512195121951;0,7348484848484849;0,7348484848484849;0,48936170212765956;0,48936170212765956;28,76923076923077;1;0;1;1;0;0;1;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;3;0;0;2;0;0;1;0;0;1;0;1;1;0;1;2;0;1;1;0;1;2;0;1;2;0;1;2;4,54;111,9;106,82;5,08;4,7;112,02;106,77;5,25;10;8;8;10;10;6;8;9
DEN;0,61;110,7;107,0;3,74;11;2;28;11;4;20;0,589;0,6097560975609756;0,5979020979020979;0,5887474882786337;0,15789473684210525;0,42758620689655175;27,88888888888889;2;1;2;2;0;1;2;1;1;1;1;2;2;0;0;1;0;0;1;0;0;0;1;1;2;0;0;0;0;1;3;1;1;1;0;0;2;0;1;2;0;0;0;0;0;2;0;0;1;0;1;3;3,71;110,46;106,95;3,51;3,74;110,48;106,93;3,55;11;11;10;12;11;11;9;11
GSW;0,585;111,0;108,8;2,38;12;1;29;13;9;29;0,573;0,5853658536585366;0,5235378031383737;0,5729632945389436;0,4;0,45180722891566266;24,916666666666668;0;0;0;3;0;1;1;0;0;1;0;0;2;1;1;2;0;1;3;0;0;0;0;0;1;0;0;1;1;1;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;2,21;112,46;110,24;2,22;2,38;112,59;110,19;2,39;13;4;22;13;13;4;21;13
CLE;0,549;96,4;96,7;-0,53;13;23;9;16;3;3;0,589;0,5487804878048781;0,5894308943089431;0,5894308943089431;0,5652173913043478;0,5652173913043478;27,0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;1;2;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;-0,35;106,66;107,15;-0,49;-0,52;106,58;107,23;-0,65;16;20;12;16;15;19;12;16
WAS;0,524;98,8;99,2;-0,61;14;14;12;17;5;7;0,452;0,524390243902439;0,47804878048780486;0,4516765285996055;0,3076923076923077;0,3076923076923077;26,09090909090909;2;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;0;1;3;0;1;2;0;0;2;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;-0,33;110,03;110,39;-0,36;-0,6;110,06;110,71;-0,65;15;12;24;15;17;12;26;16
POR;0,5;95,4;96,3;-0,52;15;26;8;15;3;8;0,477;0,5;0,3821138211382114;0,47737909516380655;-1,0;0,5;24,636363636363637;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;-0,98;107,97;109,07;-1,1;-0,52;108,11;108,73;-0,61;17;14;17;17;15;14;16;15
TOR;0,5;100,2;97,3;2,47;16;13;10;12;4;4;0,451;0,5;0,45121951219512196;0,45121951219512196;0,2727272727272727;0,2727272727272727;26,0;1;0;0;1;0;1;2;0;0;1;0;0;1;0;0;1;0;0;0;1;2;5;0;1;1;1;2;3;0;0;0;0;0;1;0;1;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;2,9;111,06;107,46;3,6;2,47;110,99;107,86;3,12;12;10;13;11;12;9;13;12
