Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
GSW;0,817;115,9;104,3;11,35;1;1;11;1;3;3;0,841;0,8170731707317073;0,8414634146341463;0,8414634146341463;0,7580645161290323;0,7580645161290323;27,615384615384617;4;0;1;3;0;1;2;0;0;2;0;1;3;0;1;1;2;2;2;0;0;2;0;0;2;0;0;1;1;2;2;0;0;2;1;1;3;0;1;3;1;2;3;0;2;3;1;1;3;0;0;2;11,63;116,26;104,57;11,69;11,35;116,02;104,61;11,41;1;1;2;1;1;1;2;1
SAS;0,744;105,3;98,1;7,13;2;14;2;2;21;21;0,694;0,7439024390243902;0,6944444444444444;0,6944444444444444;0,6102941176470589;0,6102941176470589;28,5;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;1;1;3;0;1;1;0;0;1;0;1;1;0;0;2;1;1;1;0;1;1;1;1;4;1;1;1;1;1;2;0;1;1;7,2;111,81;104,25;7,56;7,13;111,62;104,12;7,49;2;9;1;2;2;10;1;2
HOU;0,671;115,3;109,6;5,84;3;2;25;3;1;13;0,53;0,6707317073170732;0,6707317073170732;0,5295950155763239;0,5454545454545454;0,45714285714285713;26,818181818181817;1;1;1;1;1;1;1;0;0;2;0;0;1;0;2;3;1;2;4;0;0;0;1;1;1;0;0;0;0;1;3;0;0;1;0;1;1;1;1;1;0;1;3;1;1;1;0;1;1;0;1;1;5,77;115,59;109,96;5,63;5,84;115,7;109,98;5,72;3;2;18;3;3;2;18;3
BOS;0,646;108,0;105,4;2,25;4;7;15;8;4;4;0,506;0,6463414634146342;0,5060975609756098;0,5060975609756098;0,39285714285714285;0,39285714285714285;26,166666666666668;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;2;0;0;0;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;2,63;111,88;109,16;2,72;2,25;111,81;109,49;2,33;8;8;13;8;8;8;14;8
TOR;0,622;106,9;102,6;3,65;5;10;8;6;6;8;0,525;0,6219512195121951;0,5483193277310925;0,5250836120401338;0,4146341463414634;0,4146341463414634;25,0;2;0;1;2;0;1;1;0;0;1;0;1;1;0;1;3;0;1;1;1;1;2;0;1;2;0;0;0;0;0;1;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;1;0;1;1;4,21;113,2;108,68;4,51;3,65;113,07;109,14;3,93;5;6;11;4;6;6;13;6
CLE;0,622;110,3;107,2;2,87;6;4;19;7;2;2;0,634;0,6219512195121951;0,6341463414634146;0,6341463414634146;0,7435897435897436;0,7435897435897436;29,23076923076923;3;0;1;2;0;1;2;0;1;3;1;2;2;0;0;2;0;0;4;0;2;2;0;0;3;1;2;2;0;0;0;0;0;1;0;1;2;0;1;2;0;0;1;0;1;2;0;1;1;0;1;2;3,18;114,25;110,99;3,27;2,88;114,33;111,38;2,95;7;3;21;7;7;3;24;7
UTA;0,622;100,7;96,8;4,0;7;26;1;5;3;3;0,524;0,6219512195121951;0,524390243902439;0,524390243902439;0,36363636363636365;0,36363636363636365;26,428571428571427;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;1;1;0;0;2;1;1;2;0;1;3;0;0;2;0;0;3;0;0;1;3,94;110,46;106,19;4,27;4,0;110,31;105,98;4,33;6;12;3;6;5;12;3;5
LAC;0,622;108,7;104,4;4,42;8;6;12;4;4;18;0,579;0,6219512195121951;0,6615853658536586;0,579250720461095;0,45;0,5093167701863354;29,90909090909091;1;0;0;1;0;1;1;1;1;2;0;0;1;1;1;2;0;0;1;0;0;2;0;0;1;0;0;2;1;1;1;0;1;1;0;0;3;0;0;2;1;1;3;0;0;3;0;1;2;0;0;1;4,29;113,38;108,88;4,5;4,42;113,46;108,82;4,64;4;5;12;5;4;5;11;4
WAS;0,598;109,2;107,4;1,36;9;5;20;9;1;8;0,617;0,5975609756097561;0,5975609756097561;0,6172248803827751;0,5384615384615384;0,5348837209302325;26,363636363636363;1;0;0;2;1;1;1;0;0;1;0;0;2;0;0;2;0;1;1;0;1;3;0;0;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0;3;0;0;1;0;0;1;1,8;111,98;110,06;1,92;1,36;111,96;110,49;1,46;9;7;19;9;9;7;20;9
OKC;0,573;106,6;105,8;1,14;10;11;16;10;2;2;0,622;0,573170731707317;0,6219512195121951;0,6219512195121951;0,5217391304347826;0,5217391304347826;24,75;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;2;0;0;1;0;0;0;1;1;2;0;1;1;0;0;2;1;1;1;1;1;1;1;1;1;0,76;108,95;108,17;0,78;1,15;108,94;107,75;1,18;11;16;10;11;10;16;7;10
