Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
SAS;0,756;105,4;97,6;8,0;1;6;6;1;18;18;0,686;0,7560975609756098;0,6858156028368795;0,6858156028368795;0,6234309623430963;0,6234309623430963;28,615384615384617;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;4;0;0;0;0;1;2;0;0;1;0;1;1;0;0;2;0;0;0;0;0;3;0;0;2;0;1;5;0;0;1;7,72;111,09;102,93;8,16;7,99;110,98;102,53;8,45;1;7;3;1;1;7;3;1
OKC;0,72;106,2;99,8;6,66;2;5;10;3;6;6;0,633;0,7195121951219512;0,6328293736501079;0,6328293736501079;0,5342465753424658;0,5342465753424658;26,0;1;1;1;2;0;0;2;0;0;1;1;1;2;0;0;1;0;1;1;0;0;0;1;2;2;0;0;2;0;1;1;1;1;1;1;2;2;1;1;2;1;1;3;1;1;1;1;2;2;2;2;2;6,34;111,32;104,6;6,71;6,65;111,29;104,26;7,04;3;6;5;3;3;6;5;3
LAC;0,695;107,9;101,0;7,27;3;1;12;2;1;15;0,564;0,6951219512195121;0,6951219512195121;0,563922942206655;0,46153846153846156;0,5223880597014925;28,583333333333332;2;0;1;3;1;1;1;1;1;2;0;1;1;2;2;2;0;0;2;0;1;1;0;1;3;0;1;2;1;1;1;1;1;1;0;2;2;0;3;3;1;2;3;0;1;3;0;1;2;0;1;2;6,98;112,89;105,64;7,25;7,27;112,88;105,33;7,56;2;1;9;2;2;1;8;2
IND;0,683;96,7;92,3;3,63;4;23;2;8;4;4;0,625;0,6829268292682927;0,6254681647940075;0,6254681647940075;0,5185185185185185;0,5185185185185185;27,916666666666668;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0;2;0;0;2;0;1;2;0;0;2;0;1;1;4,4;104,7;100,05;4,65;3,63;104,25;100,42;3,83;7;23;1;6;8;24;1;8
HOU;0,659;107,7;103,1;5,06;5;2;19;5;3;5;0,531;0,6585365853658537;0,5782608695652174;0,5308641975308642;0,3333333333333333;0,3333333333333333;25,90909090909091;2;0;1;2;0;0;1;0;1;1;0;0;2;0;0;2;0;1;1;0;0;1;1;1;2;0;0;1;0;0;1;0;1;2;0;0;2;0;1;2;0;1;2;0;1;1;0;1;1;0;0;1;4,56;111,72;107,07;4,65;5,06;111,82;106,65;5,17;6;5;13;6;5;5;11;5
MIA;0,659;102,2;97,4;4,15;6;12;5;7;6;6;0,66;0,6585365853658537;0,6596638655462185;0,6596638655462185;0,6363636363636364;0,6363636363636364;31,09090909090909;3;1;1;2;0;0;1;0;0;0;1;1;2;0;1;3;0;0;0;0;0;0;0;1;1;0;1;1;0;0;3;0;0;1;1;1;2;1;1;2;1;2;2;1;1;1;1;1;1;0;1;2;4,76;112,13;106,75;5,38;4,15;112,15;107,42;4,73;5;2;12;4;7;4;14;6
POR;0,659;106,7;102,8;4,44;7;4;18;6;2;6;0,452;0,6585365853658537;0,5304878048780488;0,4519015659955257;0,45454545454545453;0,375;25,083333333333332;2;0;1;2;0;0;1;0;1;2;0;1;2;0;0;1;1;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;1;1;0;0;1;0;0;4;0;0;1;0;0;2;0;0;2;0;1;1;3,99;112,03;107,8;4,22;4,43;112,17;107,49;4,68;8;3;16;8;6;2;15;7
GSW;0,622;104,3;99,5;5,15;8;10;9;4;3;3;0,526;0,6219512195121951;0,5260869565217391;0,5260869565217391;0,47368421052631576;0,47368421052631576;26,454545454545453;1;0;1;3;0;1;1;0;0;2;0;1;3;0;1;1;2;2;2;0;0;2;0;0;0;0;0;1;0;0;2;0;1;1;0;1;1;0;1;1;0;1;2;0;1;1;0;1;1;0;1;2;4,8;108,05;103,07;4,98;5,15;107,93;102,59;5,34;4;12;4;5;4;13;4;4
MEM;0,61;96,1;94,6;2,18;9;26;3;13;1;1;0,61;0,6097560975609756;0,6097560975609756;0,6097560975609756;0,42857142857142855;0,42857142857142855;27,692307692307693;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;1,57;107,12;105,47;1,66;2,17;107,18;104,89;2,29;14;15;8;14;13;15;6;13
DAL;0,598;104,8;102,4;2,91;10;8;16;11;6;12;0,588;0,5975609756097561;0,6050420168067226;0,5878099173553719;0,5416666666666666;0,509090909090909;28,76923076923077;1;0;0;2;0;0;1;0;0;0;0;1;2;1;1;2;0;1;1;0;1;2;0;0;2;0;1;2;0;0;1;0;0;1;0;0;2;0;0;1;0;1;2;0;0;1;0;0;2;0;0;1;2,4;111,95;109,24;2,71;2,9;112,16;108,95;3,21;12;4;22;11;11;3;20;9
PHO;0,585;105,2;102,6;3,02;11;7;17;10;1;1;0,585;0,5853658536585366;0,5853658536585366;0,5853658536585366;-1,0;-1,0;25,083333333333332;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;2;0;0;0;2,63;110,26;107,54;2,72;3,02;110,35;107,23;3,12;11;8;15;10;10;8;13;11
CHI;0,585;93,7;91,8;1,2;12;29;1;14;4;4;0,657;0,5853658536585366;0,657051282051282;0,657051282051282;0,4358974358974359;0,4358974358974359;29,11111111111111;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;2;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;1;1,85;103,49;101,4;2,09;1,19;103,12;101,72;1,4;13;28;2;13;14;28;2;14
TOR;0,585;101,3;98,0;2,55;13;13;7;12;3;5;0,449;0,5853658536585366;0,45652173913043476;0,44886363636363635;0,42857142857142855;0,42857142857142855;26,636363636363637;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;2;0;0;2;0;1;2;1;1;1;0;0;1;0;0;0;0;0;1;0;1;2;0;0;1;0;1;2;0;0;1;0;0;1;3,24;109,77;106,15;3,62;2,55;109,65;106,76;2,89;9;9;10;9;12;9;12;12
WAS;0,537;100,7;99,4;0,48;14;15;8;15;3;8;0,367;0,5365853658536586;0,4272300469483568;0,36730769230769234;0,5454545454545454;0,5454545454545454;25,916666666666668;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;2;0;0;3;1;1;1;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;1;1,27;106,75;105,45;1,3;0,47;106,46;105,99;0,47;15;16;7;15;15;19;9;15
BRK;0,537;98,5;99,5;-1,58;15;20;9;19;1;1;0,537;0,5365853658536586;0,5365853658536586;0,5365853658536586;0,4166666666666667;0,4166666666666667;30,818181818181817;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-1,0;107,42;108,63;-1,21;-1,58;107,36;109,16;-1,8;19;14;20;19;20;14;23;20
CHA;0,524;96,9;97,1;-0,89;16;22;4;17;1;1;0,524;0,524390243902439;0,524390243902439;0,524390243902439;0,0;0,0;24,8;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;-0,22;104,31;104,61;-0,29;-0,89;104,04;105,03;-0,99;16;24;6;16;17;25;7;17
MIN;0,488;106,9;104,3;3,1;17;3;22;9;3;23;0,582;0,4878048780487805;0,4217391304347826;0,5817978782802904;-1,0;0,5031847133757962;26,071428571428573;1;0;1;2;0;1;1;1;1;2;0;1;2;0;1;2;0;1;1;1;1;1;1;1;2;1;1;2;1;2;2;0;1;1;1;1;2;1;1;1;0;1;2;1;1;1;1;1;1;0;1;1;2,67;109,41;106,7;2,7;3,1;109,4;106,25;3,15;10;10;11;12;9;10;10;10
ATL;0,463;101,0;101,5;-0,88;18;14;13;16;1;1;0,463;0,4634146341463415;0,4634146341463415;0,4634146341463415;0,42857142857142855;0,42857142857142855;27,363636363636363;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;2;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0,48;106,71;107,26;-0,56;-0,88;106,74;107,71;-0,97;17;17;14;17;16;17;16;16
NYK;0,451;98,6;99,4;-1,4;19;19;8;18;3;9;0,463;0,45121951219512196;0,5797872340425532;0,4632352941176471;0,4117647058823529;0,391304347826087;28,142857142857142;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;3;0;1;2;0;1;3;0;1;1;0;1;2;0;0;0;0;0;1;0;1;1;0;0;1;0;0;2;0;1;1;0;0;1;0;1;1;-0,79;109,27;109,97;-0,7;-1,4;109,25;110,58;-1,33;18;11;24;18;18;11;26;18
DEN;0,439;104,4;106,5;-1,4;20;9;24;18;1;1;0,439;0,43902439024390244;0,43902439024390244;0,43902439024390244;-1,0;-1,0;25,083333333333332;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,15;106,59;108,79;-2,2;-1,4;106,75;108,17;-1,43;20;19;21;20;18;16;17;19
