Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
OKC;0,829;120,5;107,6;12,7;1;4;3;1;5;5;0,528;0,8292682926829268;0,5275;0,5275;0,6;0,6;24,5;0;1;1;1;0;0;1;0;1;1;1;1;2;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;2;4;1;1;2;1;1;2;1;1;2;1;1;5;1;1;2;1;1;4;1;1;1;12,87;120,33;107,61;12,72;12,7;120,16;107,61;12,56;1;3;1;1;1;3;1;1
CLE;0,78;121,9;112,4;8,81;2;1;11;2;1;5;0,467;0,7804878048780488;0,7804878048780488;0,4666666666666667;-1,0;0,2;26,928571428571427;0;0;0;1;0;0;1;0;0;2;0;0;1;1;1;1;0;1;2;0;2;2;0;0;1;1;1;1;0;0;0;0;1;1;0;0;4;0;1;4;0;1;3;0;0;4;0;0;4;0;1;1;9,54;121,88;112,34;9,54;8,81;121,73;112,91;8,82;2;1;8;2;2;1;8;2
BOS;0,744;116,3;107,2;8,28;3;8;2;3;3;3;0,74;0,7439024390243902;0,7398373983739838;0,7398373983739838;0,6923076923076923;0,6923076923076923;27,923076923076923;0;0;1;2;0;0;1;0;0;1;0;1;2;0;1;2;0;2;3;0;0;0;0;0;2;1;1;3;0;0;0;0;0;2;0;0;2;0;1;3;1;2;5;0;1;3;0;1;4;0;1;2;9,11;120,83;111,32;9,51;8,28;120,59;111,92;8,67;3;2;5;3;3;2;7;3
HOU;0,634;114,3;109,8;4,97;4;12;6;5;2;3;0,585;0,6341463414634146;0,5670731707317073;0,5853658536585366;-1,0;0,5833333333333334;26,0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;3;0;0;1;0;0;1;0;0;2;0;0;0;0;0;2;0;0;3;0;0;0;4,51;115,23;110,89;4,34;4,96;115,37;110,57;4,79;7;13;4;7;5;13;4;6
NYK;0,622;115,8;111,7;3,59;5;9;9;9;5;13;0,579;0,6219512195121951;0,565;0,5791583166332666;0,4827586206896552;0,4470588235294118;26,90909090909091;0;0;1;2;0;1;2;1;1;2;0;0;2;0;0;1;0;0;0;0;0;1;0;1;2;0;0;1;0;0;2;0;0;0;0;1;2;0;1;3;0;0;1;0;0;3;0;0;1;0;0;1;4,1;118,42;114,34;4,09;3,59;118,37;114,79;3,59;8;5;13;8;9;5;15;9
LAL;0,61;113,4;112,2;1,45;6;17;10;14;1;1;0,61;0,6097560975609756;0,6097560975609756;0,6097560975609756;-1,0;-1,0;27,0;0;0;0;2;0;1;2;0;1;1;0;2;2;1;1;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;0;2;2;0;0;2;0;1;1;0;1;2;0;2;2;0;0;2;1,22;115,92;114,7;1,22;1,45;115,91;114,46;1,45;14;12;15;14;14;12;14;14
LAC;0,61;112,9;108,2;4,84;7;18;4;6;5;9;0,592;0,6097560975609756;0,585;0,5924713584288053;0,43333333333333335;0,5934065934065934;29,0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;2;0;0;2;0;1;1;0;0;1;0;1;3;0;0;1;0;0;2;1;1;2;0;1;1;0;1;2;0;0;1;0;0;1;4,66;115,2;110,43;4,77;4,84;115,03;110,1;4,93;6;14;3;5;6;16;3;5
DEN;0,61;120,8;116,9;3,97;8;3;23;8;1;1;1,0;1,0;1,0;1,0;-1,0;-1,0;26,916666666666668;0;1;1;1;1;1;3;1;1;1;1;1;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;1;3;0;0;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;1;3,89;119,97;116,2;3,77;3,97;120,03;116,18;3,85;9;4;22;9;8;4;22;8
IND;0,61;117,4;115,1;1,68;9;7;16;13;8;23;0,536;0,6097560975609756;0,5152439024390244;0,535887749595251;0,5;0,47333333333333333;25,25;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;1;0;1;1;0;0;1;0;1;2;0;0;1;0;1;1;0;1;1;0;0;0;2,23;116,67;114,36;2,3;1,68;116,58;114,83;1,75;12;9;14;12;13;9;16;13
MIN;0,598;114,3;109,3;5,15;10;12;5;4;5;5;0,566;0,5975609756097561;0,5663956639566395;0,5663956639566395;0,4444444444444444;0,4444444444444444;26,153846153846153;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;1;2;0;0;1;0;1;2;0;0;2;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;1;1;0;0;1;0;1;1;5,0;116,72;111,53;5,19;5,15;116,62;111,29;5,32;4;8;6;4;4;8;5;4
