Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
DET;0,78;96,8;90,2;6,24;1;16;3;2;1,0;11,0;0,58;0,7804878048780488;0,7804878048780488;0,57997557997558;0,5555555555555556;0,4153846153846154;27,77777777777778;4,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;3,0;1,0;1,0;2,0;0,0;1,0;3,0;0,0;1,0;3,0;0,0;0,0;1,0;6,67;111,59;103,9;7,69;6,23;111,35;104,15;7,2;2;4;5;2;2;4;7;2
SAS;0,768;95,6;88,8;6,69;2;17;2;1;10,0;10,0;0,673;0,7682926829268293;0,6727272727272727;0,6727272727272727;0,6178861788617886;0,6178861788617886;29,916666666666668;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;0,0;2,0;6,82;108,02;100,32;7,7;6,69;107,93;100,38;7,54;1;10;1;1;1;10;1;1
DAL;0,732;99,1;93,1;5,96;3;8;7;3;2,0;2,0;0,76;0,7317073170731707;0,76;0,76;0,5555555555555556;0,5555555555555556;27,53846153846154;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;3,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;1,0;1,0;6,07;112,87;105,73;7,14;5,96;113,06;106,07;6,99;3;1;11;3;3;1;14;3
PHO;0,659;108,4;102,8;5,48;4;1;24;4;3,0;4,0;0,549;0,6585365853658537;0,6088888888888889;0,5490909090909091;0,5428571428571428;0,5428571428571428;27,77777777777778;2,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;2,0;3,0;0,0;2,0;2,0;0,0;1,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;5,55;112,27;106,45;5,82;5,48;112,32;106,58;5,74;4;2;15;4;4;3;15;4
MIA;0,634;99,9;96,0;3,59;5;6;12;6;9,0;22,0;0,661;0,6721311475409836;0,5766423357664233;0,6614942528735632;0,5151515151515151;0,6151079136690647;29,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;2,0;2,0;0,0;0,0;3,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;2,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;2,0;2,0;3,87;109,53;105,34;4,19;3,59;109,28;105,38;3,9;5;7;9;6;6;8;9;6
CLE;0,61;97,6;95,4;2,17;6;13;10;8;1,0;1,0;0,61;0,6097560975609756;0,6097560975609756;0,6097560975609756;0,5384615384615384;0,5384615384615384;27,23076923076923;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;1,0;1,0;2,0;1,0;1,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;2,23;108,49;106,01;2,48;2,17;108,49;106,07;2,42;8;9;14;8;8;9;14;8
MEM;0,598;92,2;88,5;3,74;7;23;1;5;2,0;16,0;0,558;0,5975609756097561;0,6013513513513513;0,5578059071729958;0,0;0,3225806451612903;27,23076923076923;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;3,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;3,7;107,11;102,69;4,42;3,74;107,1;102,66;4,44;6;13;2;5;5;13;2;5
NJN;0,598;93,8;92,4;1,11;8;20;6;13;3,0;3,0;0,569;0,5975609756097561;0,5686274509803921;0,5686274509803921;0,46153846153846156;0,46153846153846156;28,333333333333332;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;1,0;1,0;1,37;104,66;103,24;1,42;1,11;104,24;103,1;1,15;13;24;4;13;13;26;4;13
LAC;0,573;97,2;95,6;1,75;9;14;11;9;3,0;13,0;0,493;0,573170731707317;0,45528455284552843;0,4932301740812379;0,5833333333333334;0,5352112676056338;25,90909090909091;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;1,57;106,09;104,24;1,85;1,75;106,11;104,08;2,03;11;19;7;11;9;18;6;9
LAL;0,549;99,4;96,9;2,53;10;7;13;7;6,0;15,0;0,713;0,5487804878048781;0,6747967479674797;0,7130081300813008;0,6767676767676768;0,7091633466135459;24,3;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;1,0;1,0;1,0;1,0;1,0;2,5;109,26;106,59;2,67;2,53;109,46;106,77;2,69;7;8;16;7;7;7;17;7
