Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
CLE;0,805;100,3;91,4;8,68;1;13;1;1;4;4;0,643;0,8048780487804879;0,6432926829268293;0,6432926829268293;0,6;0,6;26,083333333333332;2;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;0;1;2;0;0;2;1;1;1;1;1;2;1;1;3;1;1;2;1;1;1;1;1;1;8,93;113,29;103,2;10,09;8,68;113,18;103,37;9,8;1;4;3;1;1;3;3;1
LAL;0,793;106,9;99,3;7,11;2;3;12;3;9;18;0,705;0,7926829268292683;0,6720867208672087;0,7052845528455285;0,6621621621621622;0,6966666666666667;26,636363636363637;2;1;1;1;0;0;0;0;0;2;1;1;2;0;0;2;0;0;0;0;1;2;0;0;1;0;1;1;0;1;2;0;1;2;0;1;3;0;2;2;0;2;3;0;2;2;0;1;2;1;1;1;7,66;113,43;105,29;8,14;7,11;113,0;105,45;7,55;2;3;6;3;3;4;6;3
BOS;0,756;100,9;93,4;7,44;3;11;3;2;5;10;0,535;0,7560975609756098;0,5609756097560976;0,5353805073431241;0,5531914893617021;0,5;27,181818181818183;3;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;1;1;2;0;0;1;0;0;1;1;1;2;0;1;1;0;1;1;0;0;1;0;1;3;0;0;4;0;1;4;0;1;5;0;0;0;7,51;111,25;103,02;8,24;7,44;111,21;103,05;8,16;3;5;2;2;2;5;2;2
ORL;0,72;101,0;94,4;6,48;4;10;6;4;2;5;0,639;0,7195121951219512;0,676829268292683;0,6389684813753582;0,5294117647058824;0,5645161290322581;27,09090909090909;3;0;0;1;0;0;1;1;1;1;0;0;1;0;0;2;1;1;2;1;1;2;0;1;1;0;0;3;0;0;0;1;1;1;0;1;2;0;1;2;1;3;3;0;1;2;0;1;3;0;0;1;6,7;109,66;102,58;7,08;6,49;109,52;102,66;6,86;4;12;1;4;4;12;1;4
SAS;0,659;97,0;93,3;3,36;5;22;2;7;13;13;0,675;0,6585365853658537;0,6751968503937008;0,6751968503937008;0,6181818181818182;0,6181818181818182;30,818181818181817;2;0;0;1;0;0;1;0;1;1;0;1;2;0;1;1;0;0;1;0;0;3;0;0;1;0;0;2;0;0;1;0;0;1;0;2;3;0;0;2;0;1;4;0;1;2;0;2;3;0;2;3;3,76;109,18;105,01;4,17;3,36;108,79;105,05;3,74;7;15;5;7;7;19;5;7
POR;0,659;99,4;94,1;5,0;6;14;4;5;4;9;0,498;0,6585365853658537;0,45121951219512196;0,4979253112033195;0,3333333333333333;0,45454545454545453;23,545454545454547;1;0;0;1;0;0;2;0;0;1;0;0;2;1;1;2;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;1;2;0;1;1;0;1;2;0;0;1;5,34;114,74;108,68;6,06;5,0;114,62;108,94;5,67;5;1;14;5;5;1;16;5
DEN;0,659;104,3;100,9;3,13;7;6;16;8;5;21;0,592;0,6585365853658537;0,6114130434782609;0,5923809523809523;0,37142857142857144;0,4472049689440994;27,5;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;3;0;1;2;0;1;1;0;0;2;0;1;1;0;0;1;1;1;2;0;0;0;0;0;2;0;0;3;0;0;1;0;0;1;0;1;1;3,41;111,03;107,68;3,35;3,13;110,83;107,78;3,05;8;7;8;8;8;7;8;8
HOU;0,646;98,4;94,4;3,73;8;17;6;6;2;18;0,616;0,6463414634146342;0,6585365853658537;0,6156048675733715;0,47368421052631576;0,5031847133757962;28,181818181818183;1;0;0;1;0;0;2;0;0;2;0;0;1;0;0;2;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;2;0;0;3;0;0;1;0;0;1;0;0;1;4,0;109,22;104,67;4,55;3,73;108,94;104,69;4,25;6;14;4;6;6;17;4;6
DAL;0,61;101,7;99,8;1,68;9;9;13;11;1;7;0,577;0,6097560975609756;0,6097560975609756;0,5766550522648084;0,5;0,4861111111111111;28,0;1;0;1;2;0;1;1;0;0;1;0;1;2;1;1;1;0;1;1;0;0;0;0;1;1;0;0;2;1;1;2;0;0;0;0;1;2;0;1;2;0;0;1;0;0;3;0;0;3;0;1;3;1,98;111,2;109,14;2,06;1,68;111,03;109,29;1,74;10;6;17;10;11;6;17;11
NOH;0,598;95,8;94,3;1,41;10;24;5;13;5;9;0,5;0,5975609756097561;0,4878048780487805;0,5;0,47058823529411764;0,5789473684210527;28,53846153846154;2;0;1;2;1;1;1;0;0;2;0;0;2;0;0;2;0;1;1;0;0;0;0;0;2;0;1;2;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;2;1,55;109,75;108,07;1,68;1,41;109,6;108,07;1,53;13;11;10;13;13;11;10;13
