Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
PHO;0,756;113,4;106,7;6,27;1;1;15;3;1,0;1,0;0,756;0,7560975609756098;0,7560975609756098;0,7560975609756098;0,5416666666666666;0,5416666666666666;27,5;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;2,0;2,0;2,0;1,0;2,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;1,0;2,0;1,0;2,0;3,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;6,66;113,96;107,39;6,58;6,27;113,89;107,72;6,17;2;1;12;4;3;1;14;4
NYK;0,732;101,6;95,4;5,87;2;22;1;5;2,0;11,0;0,723;0,7317073170731707;0,676829268292683;0,7227833894500562;0,5555555555555556;0,6647727272727273;28,545454545454547;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;4,0;0,0;1,0;2,0;6,16;106,75;100,33;6,42;5,87;106,32;100,19;6,13;5;22;4;5;5;22;4;5
CHI;0,695;105,2;98,9;6,19;3;13;2;4;4,0;4,0;0,732;0,6951219512195121;0,7317073170731707;0,7317073170731707;0,7432432432432432;0,7432432432432432;28,166666666666668;2,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;2,0;4,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;2,0;2,0;0,0;0,0;0,0;1,0;1,0;2,0;1,0;1,0;3,0;1,0;1,0;3,0;1,0;2,0;2,0;1,0;1,0;2,0;1,0;1,0;1,0;6,29;113,65;107,03;6,62;6,19;113,58;107,07;6,51;4;2;11;2;4;2;10;2
SEA;0,671;108,3;101,3;6,66;4;5;4;1;2,0;6,0;0,48;0,6707317073170732;0,6612903225806451;0,4797136038186158;0,5;0,4523809523809524;27,636363636363637;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;2,0;1,0;2,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;3,0;7,07;112,89;105,72;7,17;6,66;112,71;105,98;6,73;1;4;6;1;1;4;7;1
HOU;0,671;104,0;99,8;3,57;5;16;3;6;2,0;2,0;0,634;0,6707317073170732;0,6339285714285714;0,6339285714285714;0,5;0,5;28,083333333333332;1,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;3,0;0,0;1,0;3,0;0,0;1,0;3,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;4,23;110,25;105,67;4,58;3,57;109,93;106,05;3,88;6;6;5;6;6;10;8;6
CLE;0,659;107,7;101,3;6,3;6;8;4;2;7,0;20,0;0,537;0,6585365853658537;0,5505226480836237;0,5370828182941904;0,43902439024390244;0,5;27,833333333333332;3,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;1,0;2,0;2,0;0,0;1,0;2,0;1,0;1,0;4,0;0,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;2,0;3,0;0,0;2,0;3,0;0,0;3,0;3,0;0,0;1,0;3,0;0,0;2,0;3,0;1,0;1,0;1,0;6,45;113,29;106,68;6,6;6,3;113,22;106,75;6,46;3;3;9;3;2;3;9;3
POR;0,622;108,5;105,4;2,92;7;4;11;7;5,0;5,0;0,672;0,6219512195121951;0,6721763085399449;0,6721763085399449;0,5384615384615384;0,5384615384615384;27,272727272727273;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;1,0;2,0;0,0;0,0;3,0;3,11;108,85;105,83;3,02;2,92;108,66;105,84;2,82;7;14;7;7;7;15;6;7
SAS;0,598;105,5;102,8;2,21;8;12;7;8;1,0;1,0;0,639;0,639344262295082;0,639344262295082;0,639344262295082;0,5;0,5;27,25;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;2,67;110,2;107,44;2,76;2,21;110,04;107,76;2,28;8;8;13;8;8;7;15;8
BOS;0,585;103,7;102,8;0,93;9;17;7;13;3,0;3,0;0,63;0,5853658536585366;0,6300813008130082;0,6300813008130082;0,48;0,48;28,5;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,89;109,3;108,44;0,86;0,93;109,41;108,49;0,92;13;12;17;13;13;12;17;13
UTA;0,573;106,2;104,0;1,74;10;11;8;10;5,0;8,0;0,567;0,573170731707317;0,638676844783715;0,5674342105263158;0,4473684210526316;0,4318181818181818;27,916666666666668;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;2,0;2,0;1,0;2,0;2,0;1,0;1,0;2,0;1,0;2,0;2,0;0,0;2,0;2,0;0,0;1,0;1,0;2,17;110,1;107,82;2,27;1,74;109,96;108,13;1,83;9;9;16;9;10;9;16;9
