Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
LAL;0,768;110,7;103,9;6,74;1;6;7;2;9,0;9,0;0,733;0,7682926829268293;0,7331499312242091;0,7331499312242091;0,6845637583892618;0,6845637583892618;29,2;3,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;2,0;2,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;3,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;1,0;6,78;114,94;107,83;7,11;6,74;115,19;108,16;7,03;2;1;13;1;2;1;14;1
POR;0,72;114,2;107,9;6,48;2;4;18;3;2,0;2,0;0,624;0,7195121951219512;0,6239316239316239;0,6239316239316239;0,5;0,5;26,272727272727273;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;2,0;4,0;0,0;2,0;2,0;0,0;1,0;2,0;0,0;2,0;2,0;0,0;0,0;1,0;6,32;110,98;104,75;6,22;6,48;111,09;104,72;6,37;3;9;7;4;3;10;6;3
DET;0,72;104,3;98,3;5,41;3;19;1;4;7,0;8,0;0,615;0,7195121951219512;0,6428571428571429;0,6146341463414634;0,6666666666666666;0,6666666666666666;29,75;3,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;4,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;2,0;6,09;110,45;104,06;6,39;5,41;109,77;104,04;5,72;4;11;5;3;4;12;5;4
SAS;0,683;106,3;102,8;3,58;4;17;5;7;2,0;11,0;0,598;0,6829268292682927;0,4695121951219512;0,5977142857142858;0,6;0,4657534246575342;27,454545454545453;1,0;0,0;1,0;2,0;0,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;3,49;108,3;104,75;3,54;3,58;108,42;104,81;3,61;8;15;7;8;7;15;7;7
CHI;0,671;109,5;106,2;2,74;5;9;12;9;1,0;1,0;0,671;0,6707317073170732;0,6707317073170732;0,6707317073170732;0,625;0,625;26,416666666666668;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;1,0;3,0;2,0;2,0;2,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;3,26;113,07;109,66;3,41;2,74;112,75;109,83;2,91;9;5;21;9;9;5;22;9
UTA;0,671;106,8;102,0;4,82;6;15;3;5;2,0;5,0;0,522;0,6707317073170732;0,6462585034013606;0,5220994475138122;0,25;0,2857142857142857;27,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;2,0;3,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;2,0;1,0;2,0;2,0;0,0;2,0;2,0;0,0;2,0;2,0;1,0;2,0;2,0;1,0;2,0;2,0;1,0;1,0;1,0;4,79;110,97;106,06;4,91;4,82;111,23;106,32;4,91;6;10;8;6;5;9;8;5
PHO;0,659;114,9;107,8;7,09;7;2;17;1;4,0;17,0;0,503;0,6585365853658537;0,6280487804878049;0,5028860028860029;0,5714285714285714;0,4264705882352941;25,833333333333332;2,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;2,0;4,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;2,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;3,0;0,0;1,0;3,0;0,0;1,0;4,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;0,0;2,0;7,1;113,45;106,59;6,86;7,09;113,6;106,76;6,84;1;4;9;2;1;3;9;2
PHI;0,646;110,2;105,2;4,23;8;7;8;6;3,0;5,0;0,483;0,6463414634146342;0,5665024630541872;0,48265895953757226;0,3076923076923077;0,3076923076923077;27,272727272727273;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;4,99;114,1;109,1;4,99;4,23;113,8;109,55;4,25;5;2;18;5;6;2;21;6
BOS;0,634;110,0;106,0;3,23;9;8;11;8;2,0;2,0;0,573;0,6341463414634146;0,573170731707317;0,573170731707317;0,25;0,25;28,75;3,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;1,0;2,0;0,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;3,99;112,19;108,25;3,94;3,23;111,86;108,66;3,2;7;7;15;7;8;8;16;8
DAL;0,573;102,2;102,2;0,42;10;22;4;15;1,0;2,0;0,383;0,5915492957746479;0,5915492957746479;0,3829787234042553;0,0;0,0;28,5;1,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,07;107,85;107,76;0,09;0,42;108,23;107,81;0,41;16;17;12;16;15;16;13;15
NYK;0,549;108,3;106,9;0,78;11;12;14;13;1,0;1,0;0,549;0,5487804878048781;0,5487804878048781;0,5487804878048781;0,4;0,4;26,363636363636363;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;2,0;2,0;1,0;1,0;1,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;1,41;109,97;108,7;1,27;0,78;109,65;108,99;0,66;11;12;16;12;13;13;19;13
MIL;0,537;106,0;106,8;-1,06;12;18;13;18;3,0;7,0;0,481;0,5365853658536586;0,5487804878048781;0,4808362369337979;0,3333333333333333;0,42857142857142855;27,333333333333332;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;-0,78;107,78;108,77;-0,98;-1,06;107,38;108,61;-1,23;18;18;17;18;18;18;15;18
DEN;0,524;114,6;113,2;1,56;13;3;24;11;10,0;14,0;0,553;0,524390243902439;0,5475285171102662;0,553133514986376;0,39344262295081966;0,39759036144578314;29,25;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;1,41;108,36;107,0;1,37;1,56;108,63;107,14;1,49;11;14;10;10;11;14;10;11
