Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
MIL;0,732;118,1;109,3;8,04;1;1;11;1;1;6;0,555;0,7317073170731707;0,7317073170731707;0,5548780487804879;0,6666666666666666;0,5;26,5;2;1;1;1;0;0;1;0;1;1;1;1;1;0;0;1;0;0;2;0;0;1;1;1;1;1;1;2;0;0;1;0;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;0;1;1;8,87;114,23;105,76;8,47;8,05;113,89;106,23;7,66;1;4;1;1;1;4;2;1
TOR;0,707;114,4;108,4;5,49;2;8;9;3;1;1;0,707;0,7073170731707317;0,7073170731707317;0,7073170731707317;0,6666666666666666;0,6666666666666666;27,09090909090909;2;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;2;0;1;1;0;1;1;0;0;0;0;1;2;0;0;1;0;1;1;0;0;2;0;1;1;0;0;2;0;1;1;0;0;1;6,09;113,99;108,0;5,99;5,49;113,78;108,4;5,38;3;5;5;3;3;5;6;3
GSW;0,695;117,7;111,2;6,42;3;2;16;2;5;5;0,785;0,6951219512195121;0,7853658536585366;0,7853658536585366;0,7333333333333333;0,7333333333333333;28,166666666666668;3;0;2;3;0;0;2;0;0;0;0;2;3;0;1;1;1;2;2;0;1;2;0;1;1;0;1;2;0;0;1;0;0;0;0;0;2;0;1;2;0;0;3;0;2;2;0;1;2;0;0;2;6,46;116,63;110,24;6,39;6,42;116,6;110,24;6,37;2;1;13;2;2;1;12;2
DEN;0,659;110,7;106,7;4,19;4;18;6;7;4;6;0,488;0,6585365853658537;0,5274390243902439;0,48847926267281105;0,5;0,5;25,09090909090909;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;0;3,95;113,76;109,62;4,14;4,2;113,74;109,35;4,39;8;6;9;8;7;6;10;7
POR;0,646;114,7;110,5;4,43;5;6;14;6;7;11;0,513;0,6463414634146342;0,5662020905923345;0,5134189031505251;0,37254901960784315;0,35714285714285715;26,0;1;0;0;2;0;0;1;0;0;1;0;0;2;0;0;0;0;1;2;0;2;2;0;1;2;0;1;2;0;0;0;0;0;1;0;0;2;0;1;2;0;0;2;0;1;2;0;0;2;0;0;1;4,2;115,45;111,07;4,38;4,44;115,63;111,01;4,62;7;3;16;7;6;3;16;6
HOU;0,646;113,9;109,1;4,96;6;11;10;5;3;15;0,557;0,6463414634146342;0,7032520325203252;0,5572315882874889;0,5897435897435898;0,5;29,181818181818183;1;1;1;1;0;1;2;0;1;1;1;1;1;0;1;1;1;2;2;0;0;1;1;1;1;1;1;2;2;2;3;0;0;1;1;1;2;1;2;2;1;2;2;1;1;3;1;1;2;1;1;1;4,77;116,25;111,43;4,82;4,97;116,45;111,43;5,03;5;2;18;5;5;2;19;5
PHI;0,622;115,2;112,5;2,25;7;4;19;11;6;6;0,362;0,6219512195121951;0,3617886178861789;0,3617886178861789;0,5454545454545454;0,5454545454545454;26,272727272727273;2;0;1;1;0;1;1;1;1;2;0;0;1;0;0;0;0;1;1;0;0;1;1;1;2;0;0;1;0;1;2;0;1;1;0;1;1;0;0;2;0;0;1;0;0;2;0;0;2;1;1;1;2,7;113,21;110,58;2,64;2,26;113,16;110,97;2,19;11;8;15;11;11;9;15;11
UTA;0,61;111,7;106,5;5,28;8;17;4;4;5;5;0,554;0,6097560975609756;0,5536585365853659;0,5536585365853659;0,37037037037037035;0,37037037037037035;27,571428571428573;0;0;0;1;0;0;2;0;1;1;0;0;1;1;2;3;0;0;2;0;1;2;0;0;2;0;0;0;0;0;1;0;1;2;0;0;2;1;1;2;1;2;3;0;0;1;0;0;3;0;1;1;5,26;111,35;106,11;5,24;5,29;111,23;105,94;5,28;4;15;2;4;4;16;1;4
OKC;0,598;114,5;111,1;3,56;9;7;15;9;4;4;0,607;0,5975609756097561;0,6067073170731707;0,6067073170731707;0,4411764705882353;0,4411764705882353;25,692307692307693;2;1;1;2;1;1;1;0;0;3;0;1;2;0;0;2;1;1;1;0;0;0;0;1;2;2;2;2;1;2;3;0;0;2;0;0;1;0;1;2;0;0;2;0;1;2;0;1;2;0;1;2;3,4;110,85;107,53;3,31;3,56;110,71;107,22;3,49;9;17;4;10;9;17;3;9
BOS;0,598;112,4;108,0;3,9;10;14;8;8;6;6;0,549;0,5975609756097561;0,5487804878048781;0,5487804878048781;0,48214285714285715;0,48214285714285715;25,714285714285715;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;2;0;0;1;0;0;1;0;0;2;0;1;2;0;1;2;0;0;1;4,44;112,78;108,35;4,43;3,9;112,57;108,69;3,88;6;10;7;6;8;10;7;8
