Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
CHI;0,817;109,9;99,5;10,07;1;5;3;1;3,0;3,0;0,744;0,8170731707317073;0,7439024390243902;0,7439024390243902;0,7272727272727273;0,7272727272727273;28,0;2,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;1,0;3,0;0,0;0,0;0,0;0,0;1,0;3,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;3,0;2,0;3,0;3,0;2,0;2,0;4,0;1,0;3,0;3,0;1,0;3,0;3,0;1,0;1,0;1,0;10,44;116,32;105,35;10,97;10,07;116,12;105,52;10,61;1;1;8;1;1;1;8;1
CLE;0,695;108,9;103,4;5,34;2;7;9;5;6,0;19,0;0,531;0,6951219512195121;0,532520325203252;0,5305989583333334;0,46875;0,5148514851485149;27,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;2,0;4,0;0,0;0,0;4,0;0,0;3,0;4,0;0,0;1,0;4,0;0,0;1,0;4,0;0,0;0,0;0,0;5,45;114,32;108,71;5,61;5,34;114,26;108,73;5,53;5;2;14;5;5;2;14;5
POR;0,695;111,4;104,1;6,94;3;4;11;2;4,0;4,0;0,687;0,6951219512195121;0,6868327402135231;0,6868327402135231;0,5573770491803278;0,5573770491803278;27,90909090909091;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;2,0;3,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;3,0;0,0;1,0;3,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;1,0;1,0;7,27;111,98;104,71;7,27;6,94;111,85;104,94;6,91;2;7;5;2;2;7;6;2
UTA;0,671;108,3;101,9;5,7;4;8;6;3;4,0;7,0;0,567;0,6707317073170732;0,6559485530546624;0,5665399239543726;0,45454545454545453;0,4358974358974359;27,0;2,0;1,0;1,0;2,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;1,0;1,0;1,0;2,0;2,0;1,0;2,0;2,0;1,0;2,0;2,0;1,0;2,0;2,0;1,0;2,0;2,0;0,0;1,0;2,0;6,39;112,68;106,13;6,55;5,7;112,59;106,77;5,82;3;4;10;3;3;4;10;3
GSW;0,671;118,7;114,8;3,77;5;1;25;6;4,0;15,0;0,593;0,6707317073170732;0,5457317073170732;0,5932343234323433;0,42857142857142855;0,46788990825688076;25,0;2,0;0,0;2,0;2,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;2,0;2,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;3,9;114,0;110,44;3,56;3,77;114,22;110,81;3,41;6;3;24;8;6;3;25;8
PHO;0,646;112,1;106,2;5,68;6;3;14;4;6,0;19,0;0,519;0,6463414634146342;0,6382113821138211;0,5193548387096775;0,525;0,425;26,75;2,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;1,0;3,0;5,94;112,51;106,7;5,82;5,69;112,5;106,96;5,54;4;5;11;4;4;5;11;4
BOS;0,622;106,6;103,0;3,41;7;9;7;8;2,0;2,0;0,652;0,6219512195121951;0,6524390243902439;0,6524390243902439;0,5238095238095238;0,5238095238095238;28,90909090909091;2,0;0,0;0,0;2,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;3,62;111,31;107,5;3,81;3,42;111,19;107,57;3,62;8;9;12;7;8;9;12;7
NYK;0,622;101,6;97,7;3,67;8;20;2;7;1,0;10,0;0,722;0,6219512195121951;0,6219512195121951;0,7218788627935723;0,5;0,6708074534161491;27,444444444444443;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;3,89;108,85;104,88;3,97;3,67;108,56;104,79;3,77;7;12;6;6;7;12;4;6
DET;0,585;98,9;96,9;2,06;9;24;1;10;9,0;10,0;0,611;0,5853658536585366;0,6327913279132791;0,6110397946084724;0,6283185840707964;0,6283185840707964;28,916666666666668;3,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;2,05;108,03;105,94;2,08;2,06;107,81;105,68;2,13;10;14;9;10;10;14;9;10
SEA;0,573;106,5;104,7;1,86;10;10;12;11;1,0;5,0;0,433;0,6428571428571429;0,6428571428571429;0,4332344213649852;0,4444444444444444;0,391304347826087;26,615384615384617;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;2,0;1,88;111,37;109,39;1,98;1,86;111,52;109,59;1,93;12;8;19;11;11;8;20;12
