Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
SAC;0,744;104,6;97,0;7,61;1;2;18;1;4,0;12,0;0,601;0,7439024390243902;0,6317567567567568;0,6011049723756906;0,5;0,5145631067961165;26,272727272727273;2,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;3,0;0,0;1,0;3,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;7,61;109,7;101,62;8,08;7,61;109,48;101,37;8,12;1;5;6;1;1;5;5;1
SAS;0,707;96,7;90,5;6,28;2;9;3;3;6,0;6,0;0,631;0,7073170731707317;0,6312217194570136;0,6312217194570136;0,5849056603773585;0,5849056603773585;29,363636363636363;1,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;1,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;1,0;2,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;1,0;1,0;6,21;107,35;100,38;6,97;6,27;107,06;100,01;7,05;3;9;3;3;3;9;2;3
LAL;0,707;101,3;94,1;7,15;3;3;9;2;3,0;12,0;0,738;0,7073170731707317;0,7357723577235772;0,7378048780487805;0,7758620689655172;0,7428571428571429;28,416666666666668;2,0;1,0;2,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;2,0;2,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;2,0;2,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;2,0;2,0;0,0;2,0;2,0;1,0;2,0;2,0;0,0;2,0;2,0;1,0;1,0;3,0;0,0;2,0;2,0;7,12;110,29;102,52;7,77;7,15;110,12;102,3;7,82;2;2;8;2;2;2;8;2
DAL;0,695;105,2;101,0;4,41;4;1;26;4;5,0;24,0;0,562;0,6951219512195121;0,511049723756906;0,5624321389793703;0,4444444444444444;0,45384615384615384;28,46153846153846;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;0,0;0,0;4,26;112,8;108,22;4,59;4,41;112,91;108,13;4,78;4;1;25;4;4;1;25;4
NJN;0,634;96,2;92,0;3,67;5;12;5;5;2,0;2,0;0,476;0,6341463414634146;0,47560975609756095;0,47560975609756095;0,55;0,55;25,818181818181817;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;4,16;104,78;100,28;4,5;3,67;104,65;100,71;3,94;5;17;2;5;5;17;3;6
MIN;0,61;99,3;96,0;3,58;6;5;15;6;7,0;7,0;0,531;0,6097560975609756;0,5306513409961686;0,5306513409961686;0,21739130434782608;0,21739130434782608;27,545454545454547;2,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;1,0;1,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;1,0;3,38;109,79;105,97;3,82;3,58;109,78;105,73;4,05;6;3;16;6;6;3;16;5
DET;0,61;94,3;92,2;1,69;7;17;6;10;1,0;1,0;0,61;0,6097560975609756;0,6097560975609756;0,6097560975609756;0,4;0,4;29,22222222222222;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;2,0;2,0;2,13;105,77;103,43;2,33;1,69;105,63;103,8;1,83;10;12;9;10;10;13;9;10
POR;0,598;96,6;93,7;3,21;8;10;8;8;1,0;1,0;0,598;0,5975609756097561;0,5975609756097561;0,5975609756097561;0,0;0,0;29,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;2,99;108,2;104,84;3,36;3,2;108,13;104,52;3,61;8;6;14;8;8;6;13;8
BOS;0,598;96,4;94,1;1,75;9;11;9;9;2,0;2,0;0,562;0,5975609756097561;0,5615384615384615;0,5615384615384615;0,5625;0,5625;25,818181818181817;2,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;2,0;2,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;2,0;2,21;104,1;101,7;2,4;1,74;103,95;102,08;1,87;9;18;7;9;9;20;7;9
SEA;0,549;97,7;94,7;3,24;10;6;11;7;2,0;2,0;0,557;0,5487804878048781;0,5570469798657718;0,5570469798657718;0,4;0,4;25,75;1,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;2,0;3,0;0,0;1,0;3,0;0,0;2,0;3,0;0,0;2,0;2,0;0,0;0,0;1,0;3,02;109,77;106,3;3,47;3,24;109,78;106,06;3,72;7;4;18;7;7;3;17;7
