Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
MIL;0,767;118,7;108,6;9,41;1;1;7;1;2;7;0,582;0,7671232876712328;0,7483870967741936;0,5823008849557522;0,6;0,5;29,076923076923077;2;0;1;2;0;0;1;1;1;1;1;1;2;0;0;0;0;0;0;0;1;3;0;1;1;0;1;1;0;0;0;1;1;1;1;1;2;1;1;2;1;1;3;1;1;2;1;1;2;1;1;1;10,08;112,98;103,36;9,62;9,41;112,69;103,73;8,96;1;9;1;1;1;11;1;1
TOR;0,736;112,8;106,5;5,97;2;13;1;4;2;2;0,721;0,7361111111111112;0,7207792207792207;0,7207792207792207;0,6571428571428571;0,6571428571428571;26,583333333333332;2;0;0;1;0;1;2;0;0;1;0;0;1;0;0;0;0;0;2;0;1;1;0;0;2;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;1;0;0;1;6,24;112,02;105,85;6,18;5,97;111,99;106,08;5,9;4;14;2;4;4;14;2;4
LAL;0,732;113,4;107,6;6,28;3;11;4;3;1;9;0,535;0,7323943661971831;0,7323943661971831;0,5345345345345346;0,7619047619047619;0,573170731707317;29,53846153846154;2;0;0;2;1;1;1;0;0;2;0;1;2;1;1;2;0;0;0;1;2;3;0;1;2;1;1;1;0;0;1;1;1;2;0;2;2;1;2;2;1;1;4;1;2;2;0;2;2;0;0;2;5,79;112,78;107,14;5,65;6,28;112,83;106,68;6,16;5;11;3;5;3;10;3;3
LAC;0,681;116,3;109,9;6,66;4;4;12;2;7;21;0,581;0,6805555555555556;0,6312056737588653;0,5806650246305419;0,4576271186440678;0,5055555555555555;26,846153846153847;1;0;1;2;0;0;1;0;0;0;0;1;1;0;0;2;0;1;1;0;0;1;0;0;3;0;0;2;0;1;2;0;0;0;0;1;4;0;0;3;0;2;3;0;1;2;1;1;2;0;1;3;6,44;114,66;108,25;6,41;6,66;114,56;107,94;6,62;2;2;5;2;2;2;4;2
BOS;0,667;113,7;107,3;5,83;5;9;2;5;7;7;0,564;0,6666666666666666;0,5638297872340425;0,5638297872340425;0,5068493150684932;0,5068493150684932;24,923076923076923;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;1;2;0;0;1;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;6,31;114,14;107,79;6,35;5,83;114,01;108,15;5,86;3;4;4;3;5;5;5;5
DEN;0,63;111,3;109,2;2,35;6;17;10;10;5;7;0,509;0,6301369863013698;0,5461346633416458;0,5088757396449705;0,48484848484848486;0,48484848484848486;25,75;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;2,11;114,06;111,9;2,15;2,35;114,06;111,66;2,4;11;5;16;11;10;4;16;11
IND;0,616;109,4;107,5;1,63;7;21;3;13;4;16;0,529;0,6164383561643836;0,5736677115987461;0,5292233787029623;0,15789473684210525;0,32075471698113206;25,333333333333332;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;1,96;110,9;108,77;2,12;1,63;110,94;109,17;1,77;13;19;6;12;13;19;6;13
HOU;0,611;117,8;114,8;3,13;8;2;18;7;4;16;0,56;0,6111111111111112;0,6823899371069182;0,5604670558798999;0,5490196078431373;0,4909090909090909;28,7;2;1;2;2;0;1;2;1;1;2;1;2;2;0;0;1;1;1;2;0;0;0;1;1;2;0;0;1;0;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2,96;113,71;110,82;2,89;3,13;113,68;110,59;3,08;7;6;14;8;7;6;11;7
UTA;0,611;111,3;108,8;2,52;9;17;8;9;6;6;0,562;0,6111111111111112;0,5622406639004149;0,5622406639004149;0,38235294117647056;0,38235294117647056;26,8;2;0;0;1;0;0;0;0;1;1;0;0;1;0;2;2;0;0;1;1;1;2;0;0;2;0;0;1;0;0;0;0;1;1;0;0;2;0;1;1;0;2;2;0;0;2;0;0;1;0;0;1;2,47;113,14;110,48;2,66;2,52;113,09;110,38;2,71;9;8;12;9;9;9;10;8
OKC;0,611;110,4;108,4;2,33;10;19;6;11;5;5;0,608;0,6111111111111112;0,6075;0,6075;0,43902439024390244;0,43902439024390244;24,923076923076923;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;0;0;1;0;0;1;0;1;3;0;0;2;0;1;2;0;0;3;0;0;1;1,99;111,74;109,66;2,09;2,32;111,74;109,32;2,42;12;15;7;13;11;15;7;10
MIA;0,603;112,0;109,1;2,59;11;15;9;8;12;12;0,591;0,6027397260273972;0,5912408759124088;0,5912408759124088;0,6115107913669064;0,6115107913669064;25,4;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;1;3;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;2;0;1;1;0;1;2;0;1;2;0;0;0;2,95;113,29;110,36;2,93;2,59;113,22;110,65;2,58;8;7;11;7;8;7;14;9
PHI;0,589;110,7;108,4;2,25;12;18;6;12;7;7;0,391;0,589041095890411;0,3911504424778761;0,3911504424778761;0,46153846153846156;0,46153846153846156;26,181818181818183;2;0;0;1;0;1;1;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;2;0;0;1;0;1;1;0;0;1;0;0;1;0;0;2;0;0;2;0;1;1;2,38;112,09;109,77;2,32;2,25;112,15;109,97;2,18;10;13;8;10;12;13;8;12
DAL;0,573;117,0;112,1;4,87;13;3;14;6;12;18;0,546;0,5733333333333334;0,5338189386056191;0,5464556090846524;0,46875;0,47619047619047616;26,09090909090909;1;0;1;2;1;1;1;0;0;2;0;1;1;0;0;1;0;0;2;0;1;1;0;1;2;0;0;0;0;0;0;0;1;1;1;2;2;0;1;1;0;0;2;0;1;1;0;1;1;1;1;1;4,95;117,5;112,53;4,97;4,87;117,41;112,52;4,9;6;1;18;6;6;1;19;6
BRK;0,486;111,8;112,3;-1,01;14;16;15;20;1;4;0,288;0,7;0,7;0,28761061946902655;0,0;0,0;25,833333333333332;0;0;0;1;0;0;1;0;0;2;0;0;0;0;2;2;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;2;-0,57;109,68;110,25;-0,57;-1,01;109,63;110,64;-1,01;15;22;9;15;20;22;12;19
POR;0,473;115,0;116,1;-0,61;15;6;21;16;8;12;0,51;0,47297297297297297;0,5555555555555556;0,5102040816326531;0,35714285714285715;0,3442622950819672;26,636363636363637;1;1;1;2;0;1;1;0;1;1;0;1;2;0;0;1;1;1;2;1;1;2;0;1;1;0;0;1;0;0;0;1;1;1;0;1;2;1;1;2;0;1;2;0;1;2;0;1;2;0;0;1;-1,15;114,26;115,41;-1,15;-0,61;114,48;115,09;-0,61;19;3;27;17;16;3;27;16
PHO;0,466;113,6;113,4;0,56;16;10;16;14;1;6;0,443;0,4657534246575342;0,4657534246575342;0,44325481798715205;-1,0;0,2;24,642857142857142;1;0;1;1;1;1;2;0;1;1;0;0;2;0;0;1;0;0;0;0;0;1;0;1;1;0;1;2;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0,22;112,38;112,27;0,11;0,56;112,41;111,94;0,47;14;12;17;14;14;12;17;14
MEM;0,466;112,6;113,7;-0,91;17;14;17;18;1;1;0,466;0,4657534246575342;0,4657534246575342;0,4657534246575342;-1,0;-1,0;24,083333333333332;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;-1,07;109,97;110,91;-0,94;-0,91;109,87;110,65;-0,78;17;20;15;16;18;20;14;18
