Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
UTA;0,722;116,4;107,2;8,97;1;4;3;1;7;7;0,583;0,7222222222222222;0,5830324909747292;0,5830324909747292;0,4222222222222222;0,4222222222222222;28,3;3;0;0;1;0;0;1;1;1;1;0;0;1;0;2;2;0;1;2;0;1;2;0;0;1;1;1;2;0;0;1;1;1;1;0;0;1;1;1;2;0;2;4;0;0;2;0;0;3;0;1;2;9,25;118,42;108,94;9,48;8,96;118,23;109,04;9,2;1;2;3;1;1;4;4;1
PHO;0,708;115,3;109,5;5,67;2;6;7;3;2;7;0,479;0,7083333333333334;0,5862068965517241;0,47866419294990725;0,6363636363636364;0,5;26,833333333333332;2;0;0;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;3;0;0;1;1;2;3;0;0;1;0;0;1;0;0;0;0;1;3;0;0;2;0;0;2;0;0;1;0;1;1;5,82;118,01;112,14;5,87;5,67;117,96;112,22;5,74;4;6;10;3;3;6;8;3
PHI;0,681;113,6;108,1;5,28;3;11;6;5;1;22;0,585;0,6805555555555556;0,6805555555555556;0,5849056603773585;0,5833333333333334;0,5104166666666666;26,583333333333332;2;0;1;1;0;0;1;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;2;3;0;0;1;1;1;1;0;1;2;1;1;1;0;0;2;0;1;1;1;1;1;5,58;114,13;108,51;5,62;5,28;113,96;108,66;5,3;5;13;2;5;5;13;2;5
BRK;0,667;118,6;114,1;4,24;4;2;19;7;1;1;0,667;0,6666666666666666;0,6666666666666666;0,6666666666666666;0,5833333333333334;0,5833333333333334;27,90909090909091;2;0;2;3;1;1;2;0;0;1;0;1;2;1;1;2;0;0;2;0;1;2;0;2;2;0;0;1;0;0;2;0;0;2;0;1;3;0;0;1;0;1;3;0;0;3;0;2;3;0;0;2;4,5;118,91;114,4;4,52;4,24;119,0;114,76;4,24;7;1;22;7;7;1;24;7
LAC;0,653;114,0;107,8;6,02;5;9;4;2;1;5;0,618;0,6527777777777778;0,6527777777777778;0,6183745583038869;0,5263157894736842;0,6375;28,76923076923077;2;0;0;2;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;1;3;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;2;0;1;2;0;1;2;0;1;2;0;0;2;6,18;118,39;112,13;6,26;6,02;118,34;112,23;6,11;2;3;9;2;2;3;9;2
DEN;0,653;115,1;110,1;4,82;6;7;8;6;6;8;0,527;0,6527777777777778;0,5623678646934461;0,5267702936096719;0,46511627906976744;0,46511627906976744;25,23076923076923;1;0;0;1;0;1;1;0;1;1;0;1;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;1;4,93;118,04;113,01;5,03;4,82;118,02;113,1;4,92;6;5;13;6;6;5;13;6
MIL;0,639;120,1;114,2;5,57;7;1;20;4;3;8;0,589;0,6388888888888888;0,7136563876651982;0,5886970172684458;0,6458333333333334;0,5517241379310345;28,2;1;0;1;1;0;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;2;2;0;1;1;0;0;2;0;1;1;0;1;2;1;1;1;0;1;2;0;1;1;1;1;1;1;1;1;0;1;1;5,89;117,68;112,03;5,65;5,57;117,67;112,34;5,33;3;7;8;4;4;7;10;4
LAL;0,583;109,5;106,8;2,77;8;19;2;8;2;10;0,539;0,5833333333333334;0,6573426573426573;0,5392953929539296;0,6666666666666666;0,5568181818181818;28,666666666666668;2;0;0;1;0;1;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;3;0;0;1;0;1;1;0;0;1;0;1;2;0;1;2;2,79;110,52;107,84;2,68;2,76;110,28;107,6;2,67;8;24;1;8;8;24;1;8
POR;0,583;116,1;114,3;1,81;9;5;21;12;9;13;0,515;0,5833333333333334;0,5583333333333333;0,5154536390827518;0,3548387096774194;0,34328358208955223;26,25;1;1;1;2;0;1;1;0;1;2;0;0;2;0;0;1;1;2;3;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;2;1;1;2;0;0;2;0;1;1;0;0;2;0;0;1;1,79;118,28;116,58;1,7;1,8;118,42;116,68;1,73;12;4;29;12;12;2;29;12
DAL;0,583;112,4;110,2;2,26;10;14;9;9;13;19;0,548;0,5833333333333334;0,537270087124879;0,5481967213114755;0,4647887323943662;0,47368421052631576;26,416666666666668;1;0;1;1;0;1;1;0;0;2;0;1;1;0;0;2;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;2;0;0;1;0;0;2;0;1;1;0;1;1;1;1;1;2,26;116,16;113,79;2,37;2,26;116,18;113,8;2,38;11;9;20;11;9;9;20;9
