Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
BOS;0,768;114,8;108,1;6,47;1;5;4;3;2;6;0,628;0,7682926829268293;0,7621951219512195;0,6275303643724697;0,6363636363636364;0,5316455696202531;28,166666666666668;3;1;1;1;0;0;3;0;2;3;1;1;1;0;0;2;1;1;1;0;1;3;0;0;2;1;3;5;0;0;2;0;0;3;1;1;2;1;2;3;1;2;4;1;1;2;1;1;2;0;1;1;6,65;113,09;106,66;6,43;6,47;113,25;107,0;6,26;3;2;12;3;3;2;12;2
LAL;0,756;118,2;110,9;6,48;2;2;13;2;4;4;0,707;0,7560975609756098;0,7066246056782335;0,7066246056782335;0,7101449275362319;0,7101449275362319;27,666666666666668;2;0;0;1;1;1;2;0;0;1;0;0;1;0;2;6;0;0;3;0;1;2;0;0;1;0;0;1;0;0;1;0;1;1;0;2;2;1;2;3;1;2;3;0;2;2;1;2;2;0;0;1;7,35;114,42;107,46;6,96;6,48;114,09;107,99;6,1;1;1;15;1;2;1;17;3
MIL;0,72;110,9;104,0;6,69;3;8;1;1;9;9;0,601;0,7195121951219512;0,6013888888888889;0,6013888888888889;0,46774193548387094;0,46774193548387094;25,636363636363637;2;0;1;2;0;0;2;0;0;2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;3;0;1;1;0;1;2;0;2;3;0;2;4;0;3;3;0;2;3;0;1;1;6,85;110,88;104,02;6,87;6,7;110,9;104,2;6,7;2;6;9;2;1;6;9;1
PHI;0,707;112,9;108,8;4,17;4;6;5;4;8;8;0,698;0,7073170731707317;0,6984615384615385;0,6984615384615385;0,6285714285714286;0,6285714285714286;27,166666666666668;2;0;1;2;0;0;2;1;1;2;0;0;1;0;0;2;0;1;1;0;0;1;1;1;3;0;1;5;0;1;2;0;0;2;0;1;3;0;1;4;0;1;4;0;0;3;0;0;3;0;0;3;4,1;111,89;107,89;4,0;4,17;112,2;108,13;4,07;4;3;18;4;4;3;19;4
DEN;0,634;120,0;117,6;2,05;5;1;21;7;5;9;0,556;0,6341463414634146;0,5461741424802111;0,5557163531114327;0,45161290322580644;0,4339622641509434;27,333333333333332;2;0;1;2;0;0;1;0;0;1;1;1;2;0;0;1;1;1;1;0;1;3;0;1;2;0;0;1;1;1;2;0;1;1;0;1;2;0;0;2;0;1;2;0;0;3;0;0;3;0;1;2;2,44;111,12;108,83;2,29;2,05;110,91;109,01;1,89;7;5;22;7;7;5;23;7
HOU;0,585;111,2;109,5;1,38;6;7;9;9;2;15;0,507;0,5853658536585366;0,4695121951219512;0,5065040650406504;0,4;0,5147058823529411;25,46153846153846;2;0;0;2;0;0;2;0;1;2;0;0;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;0;2;0;0;1;0;0;2;0;0;2;0;0;1;1,72;108,29;106,59;1,7;1,38;107,9;106,55;1,35;9;13;11;9;9;13;11;9
DET;0,561;116,0;113,5;2,73;7;3;17;6;2;3;0,507;0,5609756097560976;0,5792682926829268;0,5073170731707317;0,5;0,5;27,083333333333332;2;0;0;1;1;1;1;1;1;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0;2;0;1;2;0;1;1;0;0;0;0;1;1;0;1;2;0;0;2;1;1;1;0;1;1;0;0;0;2,49;109,84;107,48;2,36;2,73;110,13;107,53;2,6;6;10;16;6;6;9;14;6
DAL;0,537;111,2;109,0;1,8;8;7;6;8;5;17;0,509;0,5365853658536586;0,4097560975609756;0,5086083213773315;0,35714285714285715;0,44642857142857145;24,454545454545453;1;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;2;4;0;0;2;0;0;3;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2,17;111,81;109,64;2,17;1,8;111,66;109,87;1,79;8;4;25;8;8;4;25;8
NJN;0,512;109,5;109,2;0,64;9;10;8;10;2;7;0,54;0,5121951219512195;0,5304878048780488;0,5399644760213144;0,35714285714285715;0,43902439024390244;26,666666666666668;1;0;0;2;0;1;1;1;1;1;0;0;2;0;0;1;0;0;1;1;1;2;0;0;0;0;0;3;1;1;2;0;0;2;0;0;1;0;0;2;0;0;0;0;1;1;0;0;1;0;0;2;0,23;108,32;108,14;0,19;0,64;108,62;108,04;0,58;11;12;19;11;10;12;18;10
POR;0,512;115,5;112,1;2,8;10;4;16;5;9;17;0,534;0,5121951219512195;0,559620596205962;0,5344332855093257;0,509090909090909;0,44680851063829785;25,166666666666668;0;0;0;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;3;1;1;2;0;0;1;0;0;2;0;0;1;0;1;1;0;1;1;0;0;0;3,4;110,69;107,37;3,31;2,8;110,33;107,62;2,71;5;7;14;5;5;7;15;5
SAS;0,5;114,8;113,9;0,63;11;5;18;11;1;14;0,485;0,5;0,5;0,4850877192982456;0,4;0,35135135135135137;27,727272727272727;1;0;0;2;1;1;1;0;0;1;0;1;2;1;3;3;0;0;1;0;0;2;0;1;2;0;1;1;1;1;2;0;1;1;0;0;3;0;1;1;0;0;1;0;0;2;0;0;2;0;1;2;0,91;110,43;109,59;0,84;0,63;110,27;109,72;0,55;10;8;24;10;11;8;24;11
UTA;0,5;109,0;109,1;-0,33;12;11;7;13;4;4;0,432;0,5;0,4318181818181818;0,4318181818181818;0,42857142857142855;0,42857142857142855;26,923076923076923;1;0;1;2;0;1;1;0;1;1;0;0;2;0;0;0;1;1;1;2;2;3;1;1;1;0;0;1;0;0;2;1;1;2;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;2;-0,11;103,8;103,95;-0,14;-0,32;103,19;103,56;-0,37;12;21;8;12;13;22;8;13
WSB;0,488;105,5;105,8;0,15;13;18;2;12;12;19;0,498;0,4878048780487805;0,511482254697286;0,49793956043956045;0,34545454545454546;0,38961038961038963;26,9;1;0;0;1;0;1;1;0;1;3;0;0;2;0;0;1;0;1;2;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;-0,27;104,76;105,21;-0,45;0,15;104,85;104,88;-0,03;13;20;10;13;12;19;10;12
CHI;0,463;108,7;109,6;-0,5;14;12;10;14;2;13;0,464;0,4634146341463415;0,39634146341463417;0,46406570841889117;0,25;0,5348837209302325;25,75;1;1;1;2;0;0;2;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;1;1;2;0;0;0;0;1;1;0;0;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;0;1;2;-0,84;109,29;110,01;-0,72;-0,5;109,69;110,08;-0,39;14;11;26;14;14;11;26;14
CLE;0,439;108,6;111,3;-2,27;15;13;14;16;1;1;0,439;0,43902439024390244;0,43902439024390244;0,43902439024390244;0,25;0,25;26,083333333333332;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;1;1;1;1;0;1;2;0;0;2;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;-2,76;106,41;108,99;-2,57;-2,27;106,76;108,86;-2,11;18;16;23;18;16;14;22;16
PHO;0,439;108,0;110,1;-2,34;16;15;12;17;12;12;0,534;0,43902439024390244;0,5335365853658537;0,5335365853658537;0,4567901234567901;0,4567901234567901;26,363636363636363;1;0;0;1;0;0;1;0;0;2;0;0;1;0;1;1;0;0;2;0;1;1;0;0;0;1;2;2;0;0;0;0;0;1;0;0;2;0;0;1;0;0;2;0;0;2;0;1;2;0;0;0;-2,11;105,2;107,26;-2,06;-2,34;104,8;107,1;-2,3;16;19;13;16;17;20;13;17
ATL;0,415;106,6;108,1;-1,14;17;17;4;15;3;3;0,443;0,4146341463414634;0,4431137724550898;0,4431137724550898;0,4;0,4;25,5;0;0;1;1;0;1;2;0;0;0;0;1;1;0;1;2;0;0;2;0;0;1;0;1;2;0;0;0;0;1;2;0;1;2;0;0;1;0;0;1;0;0;1;0;0;2;0;0;2;1;1;1;-1,45;106,43;107,76;-1,33;-1,14;106,69;107,71;-1,03;15;15;17;15;15;15;16;15
KCK;0,378;114,8;117,5;-2,71;18;5;20;18;6;7;0,446;0,410958904109589;0,4468599033816425;0,4457831325301205;0,3333333333333333;0,3333333333333333;26,545454545454547;0;0;0;1;0;1;2;0;0;1;0;1;1;0;1;1;0;0;1;0;1;2;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-2,67;109,86;112,4;-2,54;-2,71;109,91;112,51;-2,61;17;9;29;17;18;10;29;18
SEA;0,378;102,1;107,6;-5,44;19;20;3;21;11;13;0,53;0,3780487804878049;0,5431818181818182;0,5296934865900383;0,5362318840579711;0,5362318840579711;25,90909090909091;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;-5,44;103,18;108,54;-5,36;-5,44;102,87;108,25;-5,37;21;22;20;21;21;23;20;22
LAC;0,378;107,1;111,6;-4,55;20;16;15;20;1;1;0,429;0,42857142857142855;0,42857142857142855;0,42857142857142855;-1,0;-1,0;27,09090909090909;1;0;0;1;0;1;1;0;0;2;0;0;1;1;1;2;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;-4,49;106,18;110,56;-4,38;-4,55;106,04;110,5;-4,46;19;17;28;19;20;17;28;20
NYK;0,293;105,2;109,8;-4,09;21;19;11;19;3;10;0,509;0,2926829268292683;0,46747967479674796;0,5091352009744214;0,4444444444444444;0,5254237288135594;25,75;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;-4,63;105,5;110,32;-4,82;-4,09;105,88;110,15;-4,27;20;18;27;20;19;18;27;19
IND;0,268;108,3;114,5;-5,46;22;14;19;22;1;1;0,268;0,2682926829268293;0,2682926829268293;0,2682926829268293;-1,0;-1,0;23,916666666666668;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-6,21;102,96;108,71;-5,75;-5,46;103,22;108,26;-5,04;22;23;21;22;22;21;21;21
GSW;0,268;110,4;117,7;-7,21;23;9;22;23;3;3;0,351;0,2682926829268293;0,35135135135135137;0,35135135135135137;-1,0;-1,0;25,583333333333332;0;0;1;1;0;0;0;0;1;2;0;1;1;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;-7,34;106,54;113,52;-6,99;-7,21;106,61;113,5;-6,89;23;14;30;23;23;16;30;23
