Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
LAL;0,793;117,8;108,5;8,32;1;2;12;1;6;6;0,73;0,7926829268292683;0,7297297297297297;0,7297297297297297;0,7128712871287128;0,7128712871287128;27,153846153846153;3;0;1;2;1;1;1;0;0;0;0;0;2;0;2;5;0;1;2;0;1;2;0;1;1;0;1;3;0;0;2;0;0;1;1;1;2;1;1;2;1;1;4;1;1;2;1;1;2;0;0;2;9,3;115,88;107,07;8,82;8,32;115,32;107,46;7,86;1;1;14;1;1;1;16;1
BOS;0,72;112,6;106,0;6,57;2;5;4;3;4;8;0,663;0,7195121951219512;0,7652439024390244;0,662613981762918;0,6588235294117647;0,5833333333333334;27,583333333333332;3;0;2;2;0;0;3;0;1;3;1;2;2;1;1;2;2;2;2;0;1;3;0;0;2;3;3;4;0;0;1;0;1;2;1;2;2;1;2;3;1;2;2;1;2;2;1;2;2;0;1;1;6,65;113,73;107,13;6,6;6,58;114,06;107,53;6,54;3;3;15;3;3;3;17;3
ATL;0,695;110,0;102,8;7,18;3;11;1;2;5;5;0,547;0,6951219512195121;0,5468277945619335;0,5468277945619335;0,43478260869565216;0,43478260869565216;26,23076923076923;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;2;0;1;2;0;0;1;1;1;2;0;0;0;0;1;2;0;0;1;0;1;2;0;1;3;0;2;4;0;2;2;0;2;3;1;1;1;7,23;112,99;105,73;7,26;7,19;113,29;106,06;7,23;2;4;9;2;2;4;10;2
DAL;0,671;116,7;110,4;5,54;4;3;14;4;7;19;0,519;0,6707317073170732;0,4651567944250871;0,5186136071887034;0,39285714285714285;0,4444444444444444;26,1;2;0;1;2;0;1;1;0;1;1;0;1;2;0;1;1;0;1;4;0;1;2;0;0;2;0;0;2;0;1;1;0;0;1;0;1;2;0;1;4;0;0;3;0;0;3;0;1;2;1;1;1;6,3;115,32;109,11;6,21;5,55;115,02;109,56;5,46;4;2;21;4;4;2;21;4
DET;0,634;111,2;107,8;3,51;5;7;10;6;4;5;0,547;0,6341463414634146;0,5884146341463414;0,5474254742547425;0,5454545454545454;0,5454545454545454;26,363636363636363;2;0;0;2;1;1;1;0;1;1;0;0;1;0;1;3;0;0;0;0;0;1;0;1;2;0;1;1;0;0;1;0;0;1;0;0;2;0;1;2;0;0;2;0;0;3;0;0;2;0;0;2;3,44;109,45;106,07;3,38;3,52;109,75;106,28;3,47;6;9;12;6;6;8;12;6
MIL;0,61;110,4;106,5;4,04;6;10;5;5;11;11;0,611;0,6097560975609756;0,6108597285067874;0,6108597285067874;0,4772727272727273;0,4772727272727273;27,923076923076923;0;0;0;2;0;0;2;0;0;2;0;0;1;0;0;1;0;2;2;0;0;2;0;0;1;0;1;4;0;0;4;0;0;0;0;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;1;3,91;109,92;106,06;3,86;4,04;110,2;106,2;4,0;5;7;11;5;5;7;11;5
POR;0,598;117,9;114,8;2,57;7;1;20;7;1;1;0,598;0,5975609756097561;0,5975609756097561;0,5975609756097561;0,25;0,25;27,1;0;0;1;2;0;1;2;0;0;1;0;1;2;0;0;1;0;0;2;0;1;1;0;1;2;0;1;1;0;2;3;0;0;0;0;0;2;0;1;2;0;0;2;0;1;1;0;0;1;0;0;0;3,13;111,88;108,82;3,06;2,57;111,42;108,93;2,5;7;5;19;7;7;5;19;7
PHI;0,549;106,5;106,6;0,11;8;16;6;10;2;2;0,604;0,5487804878048781;0,6036585365853658;0,6036585365853658;0,47058823529411764;0,47058823529411764;26,8;3;0;0;1;0;1;1;1;1;1;0;0;1;1;1;2;0;0;1;1;1;1;0;1;1;0;0;0;1;1;3;0;1;3;0;1;1;0;1;1;0;1;1;0;1;2;0;1;2;0;0;0;-0,2;108,94;109,05;-0,12;0,12;109,39;109,19;0,2;12;13;20;12;10;9;20;10
UTA;0,537;107,9;107,5;0,04;9;14;9;12;6;6;0,464;0,5365853658536586;0,4639830508474576;0,4639830508474576;0,4;0,4;26,916666666666668;0;0;0;1;0;1;2;0;0;2;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;2;0;0;1;0;1;2;0;0;2;0,4;104,36;104,08;0,28;0,05;103,62;103,7;-0,07;11;21;8;11;12;21;8;12
HOU;0,512;106,9;105,9;0,6;10;15;3;9;4;17;0,514;0,5121951219512195;0,5182926829268293;0,5136298421807748;0,5714285714285714;0,5408163265306123;26,142857142857142;2;0;0;1;0;0;2;0;1;2;0;0;1;0;0;3;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;1;1;3;0;1;1;0;1;2;0;1;2;0;1;2;0;1;2;0;0;2;1,0;107,03;105,99;1,05;0,6;106,46;105,82;0,64;8;15;10;8;9;16;9;9
