Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
GSW;0,89;114,9;104,1;10,38;1;1;19;1;2;2;0,854;0,8902439024390244;0,8536585365853658;0,8536585365853658;0,6888888888888889;0,6888888888888889;27,46153846153846;3;1;1;2;0;1;2;0;0;1;1;1;2;0;1;1;2;2;2;1;2;5;0;0;1;0;1;1;1;1;2;0;0;2;1;1;1;1;2;3;1;1;4;1;2;2;1;2;2;1;1;2;10,76;115,18;104,32;10,86;10,38;115,01;104,53;10,49;1;1;5;2;1;1;7;2
SAS;0,817;103,5;92,9;10,28;2;10;1;2;20;20;0,692;0,8170731707317073;0,6918678526048284;0,6918678526048284;0,6171875;0,6171875;30,142857142857142;2;0;0;1;0;0;1;0;0;1;0;0;2;0;1;1;0;0;0;0;0;3;0;0;1;0;0;1;0;0;1;0;0;1;1;2;3;0;1;2;2;3;4;0;1;1;1;1;3;0;0;0;10,63;111,04;99,55;11,49;10,28;110,59;99,49;11,1;2;5;1;1;2;5;1;1
CLE;0,695;104,3;98,3;5,45;3;8;4;4;1;1;0,659;0,6585365853658537;0,6585365853658537;0,6585365853658537;0,7619047619047619;0,7619047619047619;28,76923076923077;1;0;1;2;0;1;1;0;0;2;1;1;2;0;0;2;0;1;2;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;1;1;0;1;3;0;1;2;1;1;2;0;1;2;0;1;2;5,99;111,8;105,32;6,48;5,44;111,75;105,85;5,9;4;3;9;4;4;3;10;4
TOR;0,683;102,7;98,2;4,08;4;13;3;6;5;7;0,51;0,6829268292682927;0,5329949238578681;0,5096899224806202;0,41935483870967744;0,41935483870967744;26,0;2;0;1;2;0;0;1;0;0;2;0;0;1;0;0;1;0;1;1;0;0;0;1;1;2;0;0;0;1;1;1;0;0;2;0;0;3;0;1;2;0;0;2;0;1;2;0;1;1;0;0;1;4,5;111,11;106,16;4,95;4,08;111,18;106,68;4,5;5;4;11;5;6;4;14;5
OKC;0,671;110,2;102,9;7,09;5;2;15;3;1;1;0,671;0,6707317073170732;0,6707317073170732;0,6707317073170732;0,6111111111111112;0,6111111111111112;26,166666666666668;2;1;2;2;1;1;2;0;0;2;1;2;2;0;1;2;0;1;1;0;1;1;0;2;2;0;0;1;0;1;1;0;1;1;1;2;3;2;2;3;0;3;3;1;2;2;1;2;2;0;2;2;7,28;113,76;106,22;7,54;7,09;113,64;106,29;7,35;3;2;13;3;3;2;11;3
LAC;0,646;104,5;100,2;4,13;6;7;7;5;3;17;0,577;0,6463414634146342;0,6747967479674797;0,5765696784073507;0,45454545454545453;0,512987012987013;29,76923076923077;1;0;0;2;0;1;2;1;1;2;0;1;2;1;1;2;0;1;1;0;1;1;0;0;2;0;0;4;1;1;1;1;1;1;0;1;3;0;2;2;0;1;3;0;1;2;0;1;2;0;0;2;4,28;109,04;104,57;4,47;4,13;108,69;104,39;4,31;6;8;6;6;5;8;4;6
ATL;0,585;102,8;99,2;3,49;7;12;6;7;3;3;0,593;0,5853658536585366;0,5934959349593496;0,5934959349593496;0,45454545454545453;0,45454545454545453;27,333333333333332;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;2;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;1;3,61;105,75;102,0;3,75;3,49;105,74;102,12;3,62;7;22;2;7;7;23;2;7
BOS;0,585;105,7;102,5;2,84;8;5;13;8;3;3;0,459;0,5853658536585366;0,45934959349593496;0,45934959349593496;0,2;0,2;24,666666666666668;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;3,21;107,3;104,1;3,2;2,84;107,24;104,43;2,81;8;10;4;8;8;10;5;8
MIA;0,585;100,0;98,4;1,5;9;22;5;12;8;8;0,623;0,5853658536585366;0,6234375;0,6234375;0,6194690265486725;0,6194690265486725;28,692307692307693;2;0;0;2;0;0;1;1;1;1;0;0;1;0;1;2;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;2;0;0;2;0;0;2;0;1;1;1,65;107,01;105,34;1,67;1,5;107,08;105,56;1,52;12;13;10;12;12;13;9;12
CHO;0,585;103,4;100,7;2,36;10;11;9;9;3;3;0,504;0,5853658536585366;0,5040650406504065;0,5040650406504065;0,2727272727272727;0,2727272727272727;25,916666666666668;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;1;2;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;2,72;107,72;105,01;2,71;2,36;107,67;105,33;2,34;9;9;8;9;9;9;8;9
