Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
DET;0,768;106,6;100,8;6,24;1;16;2;4;6,0;7,0;0,598;0,7682926829268293;0,6300813008130082;0,5984990619136961;0,6438356164383562;0,6438356164383562;28,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;0,0;2,0;0,0;0,0;2,0;1,0;1,0;1,0;5,8;111,19;105,05;6,13;6,24;111,1;104,54;6,57;4;8;8;4;4;8;8;3
CLE;0,695;108,8;101,2;7,95;2;12;3;1;3,0;16,0;0,529;0,6951219512195121;0,5284552845528455;0,5294573643410853;0,4;0,5189873417721519;26,75;3,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;0,0;4,0;0,0;1,0;4,0;0,0;2,0;5,0;0,0;1,0;4,0;0,0;1,0;3,0;0,0;0,0;1,0;7,6;111,06;103,49;7,58;7,95;110,84;102,9;7,95;2;9;7;1;1;9;7;1
LAL;0,695;114,7;107,5;6,38;3;5;8;3;8,0;8,0;0,729;0,6951219512195121;0,7286821705426356;0,7286821705426356;0,7;0,7;29,333333333333332;3,0;0,0;0,0;3,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;1,0;3,0;0,0;0,0;3,0;0,0;1,0;3,0;0,0;1,0;1,0;0,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;1,0;2,0;1,0;1,0;3,0;1,0;1,0;3,0;1,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;0,0;7,17;114,33;107,36;6,97;6,38;114,22;108,03;6,19;3;1;12;3;3;1;15;4
PHO;0,671;118,6;110,9;6,84;4;1;14;2;3,0;16,0;0,493;0,6707317073170732;0,6178861788617886;0,49309815950920244;0,5833333333333334;0,38461538461538464;25,818181818181817;1,0;0,0;1,0;3,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;2,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;3,0;0,0;1,0;2,0;0,0;0,0;3,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;2,0;7,7;113,49;106,04;7,46;6,84;113,31;106,7;6,61;1;2;10;2;2;3;10;2
ATL;0,634;111,0;106,1;5,26;5;9;7;5;7,0;7,0;0,572;0,6341463414634146;0,5717171717171717;0,5717171717171717;0,45;0,45;27,916666666666668;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;1,0;3,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;4,91;112,63;107,75;4,87;5,26;112,76;107,52;5,24;6;4;14;6;5;4;12;5
NYK;0,634;116,7;112,9;3,62;6;3;18;8;2,0;2,0;0,549;0,6341463414634146;0,5487804878048781;0,5487804878048781;0,46153846153846156;0,46153846153846156;25,0;2,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;2,0;3,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;3,77;111,6;108,04;3,56;3,63;111,33;107,88;3,45;7;6;16;7;8;6;14;8
UTA;0,622;104,7;99,7;4,01;7;20;1;7;1,0;4,0;0,479;0,6153846153846154;0,6153846153846154;0,4785714285714286;0,0;0,2222222222222222;26,75;3,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;2,0;2,0;0,0;1,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;3,0;0,0;0,0;1,0;1,0;1,0;2,0;1,0;1,0;1,0;0,0;2,0;2,0;0,0;2,0;2,0;0,0;2,0;2,0;1,0;2,0;2,0;1,0;2,0;2,0;0,0;1,0;1,0;5,02;107,09;102,09;5,0;4,02;106,78;102,81;3,97;5;17;6;5;7;17;6;6
MIL;0,598;108,9;105,3;4,11;8;11;6;6;2,0;6,0;0,472;0,5975609756097561;0,5548780487804879;0,4715447154471545;0,35714285714285715;0,4444444444444444;28,454545454545453;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;1,0;3,61;110,6;107,23;3,37;4,11;110,72;106,81;3,91;8;10;11;8;6;10;11;7
CHI;0,573;106,4;105,0;2,13;9;17;5;10;3,0;3,0;0,557;0,573170731707317;0,556910569105691;0,556910569105691;0,43333333333333335;0,43333333333333335;26,90909090909091;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;1,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;2,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,44;109,57;108,16;1,4;2,13;109,71;107,61;2,11;13;12;17;13;10;11;13;10
SEA;0,573;112,1;109,2;2,44;10;7;11;9;4,0;4,0;0,491;0,573170731707317;0,49085365853658536;0,49085365853658536;0,4444444444444444;0,4444444444444444;26,583333333333332;1,0;1,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;1,0;3,0;2,9;111,92;109,05;2,87;2,44;111,93;109,53;2,4;9;5;21;9;9;5;22;9
