Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
SAS;0,707;96,2;88,4;7,92;1;11;3;1;5,0;5,0;0,614;0,7073170731707317;0,6138888888888889;0,6138888888888889;0,627906976744186;0,627906976744186;29,833333333333332;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;3,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;2,0;2,0;0,0;2,0;2,0;0,0;2,0;3,0;1,0;2,0;3,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;7,76;107,36;98,64;8,72;7,92;107,2;98,31;8,89;1;6;2;1;1;6;3;1
LAL;0,683;100,6;97,2;3,74;2;3;21;6;2,0;11,0;0,741;0,6829268292682927;0,75;0,7405764966740577;0,7692307692307693;0,7382198952879581;28,846153846153847;2,0;1,0;2,0;2,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;2,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;2,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;2,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;1,0;1,0;2,0;1,0;2,0;2,0;3,38;109,15;105,56;3,59;3,74;109,33;105,33;4,01;8;2;22;8;6;2;20;6
PHI;0,683;94,7;90,4;3,64;3;14;5;7;4,0;22,0;0,586;0,6829268292682927;0,5540540540540541;0,5858294930875576;0,4878048780487805;0,4879518072289157;27,416666666666668;2,0;1,0;1,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;1,0;1,0;1,0;1,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;2,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;4,28;104,36;99,73;4,63;3,63;104,09;100,17;3,92;4;12;6;4;7;13;7;7
SAC;0,671;101,7;95,9;6,07;4;1;13;2;3,0;11,0;0,587;0,6707317073170732;0,5887850467289719;0,5868772782503038;0,3888888888888889;0,4942528735632184;27,272727272727273;2,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;2,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;3,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;2,0;5,82;106,32;100,23;6,08;6,07;106,23;99,85;6,38;2;10;7;2;2;10;6;2
UTA;0,646;97,1;92,4;5,0;5;9;8;3;13,0;16,0;0,636;0,6463414634146342;0,6784660766961652;0,6363636363636364;0,5174825174825175;0,5100671140939598;30,307692307692307;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;1,0;3,0;4,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;3,0;0,0;1,0;2,0;0,0;2,0;3,0;0,0;1,0;3,0;0,0;2,0;3,0;0,0;1,0;1,0;4,7;108,36;103,17;5,19;5,0;108,42;102,89;5,53;3;3;13;3;3;3;11;3
DAL;0,646;100,5;96,2;4,61;6;4;15;4;4,0;23,0;0,556;0,6463414634146342;0,45714285714285713;0,55625;0,4;0,45081967213114754;26,75;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;2,0;1,0;1,0;1,0;0,0;1,0;2,0;0,0;1,0;2,0;0,0;1,0;1,0;0,0;0,0;1,0;4,28;108,0;103,36;4,63;4,6;108,07;103,07;4,99;4;4;14;4;4;4;12;4
MIL;0,634;100,7;96,9;3,14;7;2;19;8;3,0;14,0;0,599;0,6341463414634146;0,5700934579439252;0,5992329817833174;0,46153846153846156;0,475;27,454545454545453;2,0;0,0;0,0;2,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0;3,0;0,0;1,0;1,0;1,0;2,0;3,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;2,0;3,88;109,52;105,34;4,18;3,13;109,42;106,06;3,36;7;1;20;7;8;1;25;8
PHO;0,622;94,0;91,8;2,63;8;16;7;10;2,0;2,0;0,632;0,6219512195121951;0,6319444444444444;0,6319444444444444;0,38461538461538464;0,38461538461538464;28,76923076923077;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;2,21;101,12;98,67;2,45;2,63;100,94;98,03;2,91;13;22;3;12;10;23;2;10
POR;0,61;95,4;91,2;4,52;9;13;6;5;4,0;10,0;0,505;0,6097560975609756;0,6418918918918919;0,5050761421319797;0,5;0,5254237288135594;30,6;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;4,2;107,08;102,54;4,53;4,52;107,11;102,21;4,9;6;7;10;6;5;7;9;5
MIA;0,61;88,9;86,6;1,73;10;25;2;13;6,0;19,0;0,692;0,6097560975609756;0,6369565217391304;0,6924092409240924;0,4186046511627907;0,6078431372549019;30,5;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;2,29;101,88;99,39;2,49;1,72;101,67;99,81;1,87;10;20;5;11;13;20;5;13
